task,strategy,lang,source_proverb,correct_text,correct_answer,reasoning,Choice_A,Choice_B,Choice_C,Choice_D
a,zs,English,No man can serve two masters,No man can serve two masters,C,Regex Parse,No person can fulfill obligations to two opposing forces,A single individual cannot honor two different leaders,No man can serve two masters,No man can serve two distinct authorities
a,zs,English,Never test the depth of water with both feet,Never test the depth of water with both feet,B,Regex Parse,It is unwise to gauge the depth of a body of water with both feet simultaneously,Never test the depth of water with both feet,One should never test the waters with both feet at the same time,Never test the surface tension of water with both hands
a,zs,English,Count your chickens before they are hatched,Count your chickens before they are hatched,D,Regex Parse,Calculate the brood before the mother lays,Assess the eggs before they start pecking,Tabulate the chicks before they break through,Count your chickens before they are hatched
a,zs,English,"Translators, traitors","Translators, traitors",B,Regex Parse,"Interpreters, infiltrators","Translators, traitors","Translators, turncoats","Interpreters, saboteurs"
a,zs,English,Rain on someone's parade.,Rain on someone's parade.,B,Regex Parse,Drop a cloud over someone's ceremony,Rain on someone's parade.,Drench the festivities of someone's special day,Cast a shadow on someone's celebration
a,zs,English,Marriage makes or mars a man,Marriage makes or mars a man,A,Regex Parse,Marriage makes or mars a man,A union can either solidify or ruin a man,Marriage either strengthens or shatters a person,Matrimony has the power to build or destroy a character
a,zs,English,God tempers the wind to the shorn lamb.,God tempers the wind to the shorn lamb.,A,Regex Parse,God tempers the wind to the shorn lamb.,The heavens soothe the gentle soul of the vulnerable.,God calms the storm for the defenseless infant.,God quiets the gale for the child with fragile fleece.
a,zs,English,"If you can't beat 'em, join 'em","If you can't beat 'em, join 'em",A,Regex Parse,"If you can't beat 'em, join 'em","Since outperforming them is impossible, then harmonize with them","Since you can't outmaneuver them, consider merging with them","When you're unable to outdo them, align yourself with them"
a,zs,English,There's small choice in rotten apples,There's small choice in rotten apples,D,Regex Parse,There's hardly any preference in decayed fruits,There's little decision to be made about rotten fruit,There's minimal selection in spoiled produce,There's small choice in rotten apples
a,zs,English,"He is unworthy to live, who lives only for himself","He is unworthy to live, who lives only for himself",A,Regex Parse,"He is unworthy to live, who lives only for himself",One who exists solely for personal gain lacks true worthiness of life,To exist solely for oneself signifies a lack of worthiness to be alive,An individual who prioritizes self-interest alone is unworthy of survival
