task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,zs,English,0,A bird in the hand is worth two in the bush,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,False,One bird physically in your grasp equals the worth of two birds inside a shrub,A bird you are touching is heavier in weight than two birds hidden in foliage,Holding a live bird is more valuable than seeing two birds far away in a bush,The proverb 'A bird in the hand is worth two in the bush' means that it's better to hold onto something you have rather than take the risk of getting something better which may come to nothing.,D,Holding a live bird is more valuable than seeing two birds far away in a bush,A bird you are touching is heavier in weight than two birds hidden in foliage,One bird physically in your grasp equals the worth of two birds inside a shrub,"{""1"": [""Holding a live bird is more valuable than seeing two birds far away in a bush"", ""A bird you are touching is heavier in weight than two birds hidden in foliage"", ""One bird physically in your grasp equals the worth of two birds inside a shrub""], ""2"": [""Every long trip must start exactly with one footstep forward"", ""Walking a thousand miles requires counting each individual step from the begi",1.0,1.0,0.41,0.76,92.8
a,zs,English,3,A journey of a thousand miles begins with a single step,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.","The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",False,Every long trip must start exactly with one footstep forward,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",Walking a thousand miles requires counting each individual step from the beginning,A journey that spans a thousand miles can only commence if the first step is exactly one foot long,B,Every long trip must start exactly with one footstep forward,Walking a thousand miles requires counting each individual step from the beginning,A journey that spans a thousand miles can only commence if the first step is exactly one foot long,"{""1"": [""Holding a live bird is more valuable than seeing two birds far away in a bush"", ""A bird you are touching is heavier in weight than two birds hidden in foliage"", ""One bird physically in your grasp equals the worth of two birds inside a shrub""], ""2"": [""Every long trip must start exactly with one footstep forward"", ""Walking a thousand miles requires counting each individual step from the begi",1.0,1.0,0.41,0.89,96.7
a,zs,English,4,A leopard cannot change its spots,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,False,Leopards are born with spots and cannot grow new ones later in life,It is impossible to paint or change the spots on a living leopard's skin,The proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that people who have done bad things will always be bad people.,A leopard's fur pattern is permanent and cannot be altered by washing,C,A leopard's fur pattern is permanent and cannot be altered by washing,Leopards are born with spots and cannot grow new ones later in life,It is impossible to paint or change the spots on a living leopard's skin,"{""1"": [""Holding a live bird is more valuable than seeing two birds far away in a bush"", ""A bird you are touching is heavier in weight than two birds hidden in foliage"", ""One bird physically in your grasp equals the worth of two birds inside a shrub""], ""2"": [""Every long trip must start exactly with one footstep forward"", ""Walking a thousand miles requires counting each individual step from the begi",1.0,1.0,0.35,0.91,97.3
a,zs,English,5,A little knowledge is a dangerous thing,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.","The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",False,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.","Small amounts of information weigh more than large amounts, making them hazardous",Knowing just a few facts can cause physical danger due to radiation from knowledge,"A tiny piece of knowledge, if dropped, can injure someone like a falling object",A,"Small amounts of information weigh more than large amounts, making them hazardous",Knowing just a few facts can cause physical danger due to radiation from knowledge,"A tiny piece of knowledge, if dropped, can injure someone like a falling object","{""1"": [""Holding a live bird is more valuable than seeing two birds far away in a bush"", ""A bird you are touching is heavier in weight than two birds hidden in foliage"", ""One bird physically in your grasp equals the worth of two birds inside a shrub""], ""2"": [""Every long trip must start exactly with one footstep forward"", ""Walking a thousand miles requires counting each individual step from the begi",1.0,1.0,0.34,0.96,98.8
a,zs,English,6,A rolling stone gathers no moss,Someone who does not settle in one place rarely prospers.,Someone who does not settle in one place rarely prospers.,False,A stone that rolls continuously stays cleaner than a stationary one,"If a stone keeps rolling, moss does not have time to attach to its surface",Moving stones avoid growing moss because moss prefers still surfaces,Someone who does not settle in one place rarely prospers.,D,A stone that rolls continuously stays cleaner than a stationary one,Moving stones avoid growing moss because moss prefers still surfaces,"If a stone keeps rolling, moss does not have time to attach to its surface","{""1"": [""Holding a live bird is more valuable than seeing two birds far away in a bush"", ""A bird you are touching is heavier in weight than two birds hidden in foliage"", ""One bird physically in your grasp equals the worth of two birds inside a shrub""], ""2"": [""Every long trip must start exactly with one footstep forward"", ""Walking a thousand miles requires counting each individual step from the begi",1.0,1.0,1.2,0.95,98.5
a,zs,English,7,A stitch in time saves nine,A 'stitch in time' is a timely effort that will prevent more work later.,A 'stitch in time' is a timely effort that will prevent more work later.,False,A timely needle and thread can save nine items of clothing from being ruined.,A 'stitch in time' is a timely effort that will prevent more work later.,Sewing exactly one stitch right now will save you from doing nine stitches later.,Fixing a tear immediately with a single stitch prevents nine future tears.,B,Sewing exactly one stitch right now will save you from doing nine stitches later.,Fixing a tear immediately with a single stitch prevents nine future tears.,A timely needle and thread can save nine items of clothing from being ruined.,"{""1"": [""Sewing exactly one stitch right now will save you from doing nine stitches later."", ""Fixing a tear immediately with a single stitch prevents nine future tears."", ""A timely needle and thread can save nine items of clothing from being ruined.""], ""2"": [""If you stand and watch a pot, it will never reach boiling temperature."", ""A pot that is being observed cannot physically boil due to scientif",1.0,1.0,0.95,0.9,97.0
a,zs,English,8,A watched pot never boils,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,False,"Pots only boil when no one is looking at them, according to natural principles.","If you stand and watch a pot, it will never reach boiling temperature.",A pot that is being observed cannot physically boil due to scientific laws.,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,D,"If you stand and watch a pot, it will never reach boiling temperature.",A pot that is being observed cannot physically boil due to scientific laws.,"Pots only boil when no one is looking at them, according to natural principles.","{""1"": [""Sewing exactly one stitch right now will save you from doing nine stitches later."", ""Fixing a tear immediately with a single stitch prevents nine future tears."", ""A timely needle and thread can save nine items of clothing from being ruined.""], ""2"": [""If you stand and watch a pot, it will never reach boiling temperature."", ""A pot that is being observed cannot physically boil due to scientif",1.0,1.0,0.51,0.94,98.2
a,zs,English,9,A wolf in sheep's clothing,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,False,Sheep sometimes dress wolves in their own wool for protection.,A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness.,A predator can blend in with prey by literally wearing their skin.,A wolf wearing a sheep costume is difficult to recognize in a flock.,B,A wolf wearing a sheep costume is difficult to recognize in a flock.,Sheep sometimes dress wolves in their own wool for protection.,A predator can blend in with prey by literally wearing their skin.,"{""1"": [""Sewing exactly one stitch right now will save you from doing nine stitches later."", ""Fixing a tear immediately with a single stitch prevents nine future tears."", ""A timely needle and thread can save nine items of clothing from being ruined.""], ""2"": [""If you stand and watch a pot, it will never reach boiling temperature."", ""A pot that is being observed cannot physically boil due to scientif",1.0,1.0,0.73,0.88,96.4
a,zs,English,10,Absolute power corrupts absolutely,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.","The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.",False,"When a person has full authority over nine people, they become morally worse.",Total control over electricity leads to complete deterioration of wires.,Having absolute power over machinery causes it to break down entirely.,"The proverbial saying 'power corrupts; absolute power corrupts absolutely' conveys the opinion that, as a person's power increases, their moral sense diminishes.",D,Total control over electricity leads to complete deterioration of wires.,Having absolute power over machinery causes it to break down entirely.,"When a person has full authority over nine people, they become morally worse.","{""1"": [""Sewing exactly one stitch right now will save you from doing nine stitches later."", ""Fixing a tear immediately with a single stitch prevents nine future tears."", ""A timely needle and thread can save nine items of clothing from being ruined.""], ""2"": [""If you stand and watch a pot, it will never reach boiling temperature."", ""A pot that is being observed cannot physically boil due to scientif",1.0,1.0,0.52,0.94,98.2
a,zs,English,11,Actions speak louder than words,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,False,Physical movements produce more sound than verbal speech in any situation.,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,"When someone acts, the noise they make is greater than when they speak.",The volume of a person's actions is louder than their spoken words.,B,The volume of a person's actions is louder than their spoken words.,Physical movements produce more sound than verbal speech in any situation.,"When someone acts, the noise they make is greater than when they speak.","{""1"": [""Sewing exactly one stitch right now will save you from doing nine stitches later."", ""Fixing a tear immediately with a single stitch prevents nine future tears."", ""A timely needle and thread can save nine items of clothing from being ruined.""], ""2"": [""If you stand and watch a pot, it will never reach boiling temperature."", ""A pot that is being observed cannot physically boil due to scientif",1.0,1.0,0.55,0.92,97.6
