sample_id,language,source_proverb,gold,original_gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,gen_attempts,gen_info
283,English,No man can serve two masters,A person cannot divide their loyalties or pursue two contradictory goals.,A person cannot divide their loyalties or pursue two contradictory goals.,"[""It is impossible for two people to have the same goals."", ""Having more than one job leads to failure."", ""You must obey only one boss in life.""]",False,S2,You must obey only one boss in life.,A person cannot divide their loyalties or pursue two contradictory goals.,Having more than one job leads to failure.,It is impossible for two people to have the same goals.,B,1,generated
292,English,Never test the depth of water with both feet,Always assess risk carefully before committing fully to something unknown.,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.","[""It is safer to take big risks without hesitation."", ""You should always commit fully to every opportunity without checking the risks."", ""Testing with both feet is the best way to ensure safety.""]",False,S2,It is safer to take big risks without hesitation.,Testing with both feet is the best way to ensure safety.,Always assess risk carefully before committing fully to something unknown.,You should always commit fully to every opportunity without checking the risks.,C,1,generated
62,English,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.,Don't be hasty in evaluating one's assets.,"[""Always trust what you see with your own eyes."", ""It is wise to rely on predictions for future success."", ""You should prepare for failure before taking action.""]",False,S2,It is wise to rely on predictions for future success.,Always trust what you see with your own eyes.,You should prepare for failure before taking action.,Don't be hasty in evaluating one's assets.,D,1,generated
1099,English,"Translators, traitors",Translating a sentence perfectly from one language to another is technically impossible.,Translating a sentence perfectly from one language to another is technically impossible.,"[""Translators are often spies working for foreign governments."", ""Translation software will eventually replace all human translators."", ""Translating poetry is easier than translating legal documents.""]",False,S2,Translating poetry is easier than translating legal documents.,Translating a sentence perfectly from one language to another is technically impossible.,Translators are often spies working for foreign governments.,Translation software will eventually replace all human translators.,B,1,generated
ENG0096,English,Rain on someone's parade.,Spoil someone's plans,Spoil someone's plans.,"[""Make someone feel better"", ""Give someone a surprise gift"", ""Praise someone publicly""]",False,S2,Spoil someone's plans,Make someone feel better,Give someone a surprise gift,Praise someone publicly,A,1,generated
1223,English,Marriage makes or mars a man,Being married can either help or hinder you in your life.,Being married can either help or hinder you in your life.,"[""Marriage always improves a man's character."", ""Only married men can achieve success."", ""Marriage has no effect on a person's life.""]",False,S2,Being married can either help or hinder you in your life.,Only married men can achieve success.,Marriage always improves a man's character.,Marriage has no effect on a person's life.,A,1,generated
87,English,God tempers the wind to the shorn lamb.,Heaven is more kind to the weak,Heaven is more kind to the weak.,"[""God punishes the strong for their arrogance"", ""The wind always protects newborn animals"", ""Lambs are naturally protected by the weather""]",False,S2,God punishes the strong for their arrogance,The wind always protects newborn animals,Heaven is more kind to the weak,Lambs are naturally protected by the weather,C,1,generated
224,English,"If you can't beat 'em, join 'em",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"[""It means you should always try to fight back against challenges."", ""It suggests that giving up is the best solution when faced with competition."", ""It implies that you should avoid teamwork and work alone instead.""]",False,S2,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,It means you should always try to fight back against challenges.,It suggests that giving up is the best solution when faced with competition.,It implies that you should avoid teamwork and work alone instead.,A,1,generated
785,English,There's small choice in rotten apples,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.","If you have a lot of options, but they are all bad, it is the same as having few or no options at all.","[""A small number of good choices is better than many bad ones."", ""Bad choices can improve if given the right conditions."", ""You should always choose the smallest option available.""]",False,S2,A small number of good choices is better than many bad ones.,You should always choose the smallest option available.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",Bad choices can improve if given the right conditions.,C,1,generated
1238,English,"He is unworthy to live, who lives only for himself","It is important to think of the needs of others, not only your own.","It is important to think of the needs of others, not only your own.","[""Living only for yourself makes you the most successful."", ""Loving yourself is the worst thing you can do."", ""Helping others is only necessary when they ask for it.""]",False,S2,Helping others is only necessary when they ask for it.,"It is important to think of the needs of others, not only your own.",Loving yourself is the worst thing you can do.,Living only for yourself makes you the most successful.,B,1,generated
786,English,"Wise men learn by other men’s mistakes, fools by their own",Wise people are observant so that they can learn by example rather than through the time and energy wasted in their own failed experiences.,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,"[""Wise people do not make mistakes, while fools make many."", ""Learning from others is only for wise people, and fools cannot learn from anyone."", ""Everyone must make their own mistakes to truly understand anything.""]",False,S2,"Wise people do not make mistakes, while fools make many.",Wise people are observant so that they can learn by example rather than through the time and energy wasted in their own failed experiences.,Everyone must make their own mistakes to truly understand anything.,"Learning from others is only for wise people, and fools cannot learn from anyone.",B,1,generated
520,English,Love is without reason,You can’t explain why people fall in love with each other.,You can’t explain why people fall in love with each other.,"[""Love only happens when there is no logical reason to dislike someone."", ""People should avoid using logic when choosing a partner."", ""Love is stronger than any argument or explanation.""]",False,S2,You can’t explain why people fall in love with each other.,People should avoid using logic when choosing a partner.,Love is stronger than any argument or explanation.,Love only happens when there is no logical reason to dislike someone.,A,1,generated
778,English,Every law has a loophole,"If one tries hard enough, they can find their way around any law or rule.","If one tries hard enough, they can find their way ar ound any law or rule.","[""Laws are unnecessary and should be ignored."", ""All laws are created with fairness and no exceptions."", ""Only important laws have exceptions""]",False,S2,Only important laws have exceptions,Laws are unnecessary and should be ignored.,"If one tries hard enough, they can find their way around any law or rule.",All laws are created with fairness and no exceptions.,C,1,generated
ENG0867,English,People who live in glass houses should not throw stones.,One should not criticize others for faults similar to one's own and risk retaliation.,One should not criticize others for faults similar to one's own and risk retaliation.,"[""People who are poor at building things should avoid teaching others."", ""It is wise to hide one's weaknesses from others carefully."", ""Those who make mistakes should always be honest about them.""]",False,S2,It is wise to hide one's weaknesses from others carefully.,People who are poor at building things should avoid teaching others.,One should not criticize others for faults similar to one's own and risk retaliation.,Those who make mistakes should always be honest about them.,C,1,generated
304,English,"While there is life, there is hope","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.","[""Once you lose hope, life is no longer worth living."", ""Only those who have already achieved success can expect better things in the future."", ""Hope is only possible if you have a long life ahead of you.""]",False,S2,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",Hope is only possible if you have a long life ahead of you.,"Once you lose hope, life is no longer worth living.",Only those who have already achieved success can expect better things in the future.,A,1,generated
878,English,"A prophet is not without honor, save in his own country",People are more likely to believe in a foreign expert than one from their own kin.,People are more likely to believe in a foreign expert than one from their own kin.,"[""Experts are always respected in their home country."", ""Prophets are only honored when they travel abroad."", ""People trust local leaders more than outsiders.""]",False,S2,Experts are always respected in their home country.,People are more likely to believe in a foreign expert than one from their own kin.,People trust local leaders more than outsiders.,Prophets are only honored when they travel abroad.,B,2,generated
1048,English,He who wills the end wills the means,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.","If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.","[""Only the outcome matters, not how it is achieved."", ""People who want an end result usually don't care about the process."", ""Goals are more important than the actions taken to achieve them.""]",False,S2,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",People who want an end result usually don't care about the process.,Goals are more important than the actions taken to achieve them.,"Only the outcome matters, not how it is achieved.",A,1,generated
847,English,Be just before you are generous,Make sure your own debts are paid before lending to others.,Make sure your own debts are paid before lending to others.,"[""Give generously without expecting anything in return."", ""Help others before taking care of yourself."", ""Be kind to everyone, regardless of their actions.""]",False,S2,Make sure your own debts are paid before lending to others.,Help others before taking care of yourself.,Give generously without expecting anything in return.,"Be kind to everyone, regardless of their actions.",A,1,generated
32,English,Burning the midnight oil,To 'burn the midnight oil' is to work late into the night.,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.","[""To 'burn the midnight oil' means to waste time on unnecessary tasks."", ""To 'burn the midnight oil' means to celebrate an important event with a party."", ""To 'burn the midnight oil' means to sleep for extended hours during the night.""]",False,S2,To 'burn the midnight oil' means to celebrate an important event with a party.,To 'burn the midnight oil' means to sleep for extended hours during the night.,To 'burn the midnight oil' means to waste time on unnecessary tasks.,To 'burn the midnight oil' is to work late into the night.,D,1,generated
ENG1507,English,When the cat's away the mice will play.,"Without supervision, people misbehave","Without supervision, people misbehave.","[""People become more productive when leaders are absent"", ""Animals take over when humans are not watching"", ""Children behave better when parents are away""]",False,S2,"Without supervision, people misbehave",Children behave better when parents are away,People become more productive when leaders are absent,Animals take over when humans are not watching,A,1,generated
197,English,Fake it until you make it,One who imitates a desired quality with confidence will eventually realize that quality.,One who imitat es a desired quality with confidence will eventually realize that quality.,"[""Faking a quality will always lead to being discovered and losing trust."", ""Only pretending to have qualities is enough to achieve success without effort."", ""Imitating others will make you more authentic over time.""]",False,S2,Only pretending to have qualities is enough to achieve success without effort.,Imitating others will make you more authentic over time.,Faking a quality will always lead to being discovered and losing trust.,One who imitates a desired quality with confidence will eventually realize that quality.,D,1,generated
69,English,Power corrupts,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.","When people get authority and influence with less accountability, they tend to use that influence in their own interests.","[""Having too much power makes people physically stronger and more dominant."", ""Power is only given to people who are already corrupt."", ""People who are corrupt naturally seek positions of power.""]",False,S2,Power is only given to people who are already corrupt.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",Having too much power makes people physically stronger and more dominant.,People who are corrupt naturally seek positions of power.,B,1,generated
ENG0610,English,Don’t throw the baby out with the bathwater,Avoid discarding valuables,Avoid discarding valuables.,"[""Don't waste time on unimportant tasks"", ""Avoid making hasty decisions"", ""Don't trust people who have made mistakes""]",False,S2,Avoid discarding valuables,Don't trust people who have made mistakes,Avoid making hasty decisions,Don't waste time on unimportant tasks,A,1,generated
