task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
b,MID0001,German,B,B,,B,1
b,MID0002,German,C,C,,C,1
b,MID0003,German,B,B,,B,1
b,MID0004,German,A,A,,A,1
b,MID0005,German,A,A,,A,1
b,MID0006,German,A,A,,A,1
b,MID0007,German,C,C,,C,1
b,MID0008,German,D,D,,D,1
b,MID0009,German,A,A,,A,1
b,MID0010,German,B,B,,B,1
b,MID0011,German,B,B,,B,1
b,MID0012,German,C,C,,C,1
b,MID0013,German,C,C,,C,1
b,MID0014,German,A,A,,A,1
b,MID0015,German,D,D,,D,1
b,MID0016,German,C,C,,C,1
b,MID0017,German,C,C,,C,1
b,MID0018,German,C,C,,C,1
b,MID0019,German,C,C,,C,1
b,MID0020,German,B,B,,B,1
b,MID0021,German,C,C,,C,1
b,MID0022,German,C,C,,C,1
b,MID0023,German,D,D,,D,1
b,MID0024,German,C,C,,C,1
b,MID0025,German,A,A,,A,1
b,MID0026,German,D,D,,D,1
b,MID0027,German,A,A,,A,1
b,MID0028,German,C,C,,C,1
b,MID0029,German,B,B,,B,1
b,MID0030,German,C,A,,A,0
b,MID0101,German,D,D,,D,1
b,MID0102,German,B,B,,B,1
b,MID0103,German,D,D,,D,1
b,MID0104,German,C,C,,C,1
b,MID0105,German,C,C,,C,1
b,MID0531,German,A,A,,A,1
b,MID0532,German,B,A,,A,0
b,MID0533,German,C,C,,C,1
b,MID0534,German,B,B,,B,1
b,MID0535,German,D,D,,D,1
b,MID0536,German,B,B,,B,1
b,MID0537,German,B,B,,B,1
b,MID0538,German,C,C,,C,1
b,MID0539,German,A,A,,A,1
b,MID0540,German,D,D,,D,1
b,MID0541,German,C,C,,C,1
b,MID0542,German,C,A,,A,0
b,MID0543,German,D,D,,D,1
b,MID0544,German,B,B,,B,1
b,MID0545,German,D,D,,D,1
b,MID0546,German,B,B,,B,1
b,MID0547,German,D,D,,D,1
b,MID0548,German,D,D,,D,1
b,MID0549,German,B,B,,B,1
b,MID0550,German,C,C,,C,1
b,MID0551,German,B,B,,B,1
b,MID0552,German,D,D,,D,1
b,MID0553,German,A,A,,A,1
b,MID0554,German,D,D,,D,1
b,MID0555,German,B,B,,B,1
b,MID0581,German,D,D,,D,1
b,MID0582,German,D,D,,D,1
b,MID0583,German,C,C,,C,1
b,MID0584,German,A,A,,A,1
b,MID0585,German,D,D,,D,1
b,MID0586,German,D,D,,D,1
b,MID0587,German,B,B,,B,1
b,MID0588,German,C,C,,C,1
b,MID0589,German,B,B,,B,1
b,MID0590,German,D,D,,D,1
b,MID0592,German,A,A,,A,1
b,MID0593,German,B,B,,B,1
b,MID0594,German,C,C,,C,1
b,MID0595,German,D,D,,D,1
b,MID0596,German,C,C,,C,1
b,MID0597,German,D,D,,D,1
b,MID0598,German,C,C,,C,1
b,MID0599,German,C,C,,C,1
b,MID0600,German,A,A,,A,1
b,MID0601,German,B,A,,A,0
b,MID0602,German,A,A,,A,1
b,MID0603,German,B,B,,B,1
b,MID0604,German,A,A,,A,1
b,MID0605,German,A,A,,A,1
b,MID0606,German,B,B,,B,1
b,MID0607,German,B,B,,B,1
b,MID0608,German,D,D,,D,1
b,MID0609,German,B,B,,B,1
b,MID0610,German,A,A,,A,1
b,MID0611,German,D,D,,D,1
b,MID0612,German,A,A,,A,1
b,MID0613,German,A,A,,A,1
b,MID0615,German,D,D,,D,1
b,MID0616,German,A,A,,A,1
b,MID0617,German,C,C,,C,1
b,MID0618,German,B,B,,B,1
b,MID0619,German,C,C,,C,1
b,MID0620,German,C,C,,C,1
b,MID0621,German,D,D,,D,1
b,MID0622,German,C,C,,C,1
b,MID0623,German,C,C,,C,1
b,MID0624,German,B,B,,B,1
b,MID0625,German,D,D,,D,1
b,MID0626,German,C,C,,C,1
b,MID0627,German,A,A,,A,1
b,MID0628,German,D,D,,D,1
b,MID0629,German,D,D,,D,1
b,MID0630,German,D,D,,D,1
b,MID0631,German,A,A,,A,1
b,MID0632,German,B,B,,B,1
b,MID0633,German,C,C,,C,1
b,MID0634,German,A,A,,A,1
b,MID0635,German,C,C,,C,1
b,MID0636,German,C,C,,C,1
b,MID0638,German,D,D,,D,1
b,MID0703,German,C,C,,C,1
b,MID0729,German,A,A,,A,1
b,MID0732,German,D,A,,A,0
b,MID0734,German,C,A,,A,0
b,MID0735,German,B,B,,B,1
b,MID0736,German,A,D,,D,0
b,MID0737,German,D,D,,D,1
b,MID0738,German,D,D,,D,1
b,MID0739,German,B,A,,A,0
b,MID0740,German,A,C,,C,0
b,MID0741,German,B,B,,B,1
b,MID0742,German,B,B,,B,1
b,MID0744,German,D,D,,D,1
b,MID0745,German,B,B,,B,1
b,MID0746,German,B,,A,,0
b,MID0747,German,D,D,,D,1
b,MID0752,German,A,A,,A,1
b,MID0755,German,C,C,,C,1
b,MID0756,German,A,A,,A,1
b,MID0757,German,C,C,,C,1
b,MID0758,German,C,A,,A,0
b,MID0759,German,C,C,,C,1
b,MID0760,German,B,B,,B,1
b,MID0764,German,D,D,,D,1
b,MID0765,German,B,B,,B,1
b,MID0766,German,B,B,,B,1
