task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
a,MID0001,German,A,A,,A,1
a,MID0002,German,B,A,,A,0
a,MID0003,German,C,A,,A,0
a,MID0004,German,B,A,,A,0
a,MID0005,German,C,C,,C,1
a,MID0006,German,D,D,,D,1
a,MID0007,German,B,B,,B,1
a,MID0008,German,B,B,,B,1
a,MID0009,German,C,C,,C,1
a,MID0010,German,C,C,,C,1
a,MID0011,German,A,A,,A,1
a,MID0012,German,C,A,,A,0
a,MID0013,German,B,B,,B,1
a,MID0014,German,A,A,,A,1
a,MID0015,German,B,B,,B,1
a,MID0016,German,C,A,,A,0
a,MID0017,German,B,A,,A,0
a,MID0018,German,D,D,,D,1
a,MID0019,German,D,A,,A,0
a,MID0020,German,B,B,,B,1
a,MID0021,German,A,A,,A,1
a,MID0022,German,B,D,,D,0
a,MID0023,German,D,A,,A,0
a,MID0024,German,B,B,,B,1
a,MID0025,German,D,A,,A,0
a,MID0026,German,C,A,,A,0
a,MID0027,German,B,C,,C,0
a,MID0028,German,A,A,,A,1
a,MID0029,German,A,A,,A,1
a,MID0030,German,A,A,,A,1
a,MID0101,German,C,C,,C,1
a,MID0102,German,D,D,,D,1
a,MID0103,German,B,A,,A,0
a,MID0104,German,C,C,,C,1
a,MID0105,German,A,A,,A,1
a,MID0531,German,C,C,,C,1
a,MID0532,German,A,A,,A,1
a,MID0533,German,D,A,,A,0
a,MID0534,German,A,A,,A,1
a,MID0535,German,A,A,,A,1
a,MID0536,German,D,C,,C,0
a,MID0537,German,B,A,,A,0
a,MID0538,German,B,A,,A,0
a,MID0539,German,D,A,,A,0
a,MID0540,German,D,A,,A,0
a,MID0541,German,D,A,,A,0
a,MID0542,German,B,A,,A,0
a,MID0543,German,D,A,,A,0
a,MID0544,German,D,D,,D,1
a,MID0545,German,D,A,,A,0
a,MID0546,German,C,C,,C,1
a,MID0547,German,B,B,,B,1
a,MID0548,German,A,A,,A,1
a,MID0549,German,A,A,,A,1
a,MID0550,German,B,B,,B,1
a,MID0551,German,C,C,,C,1
a,MID0552,German,D,D,,D,1
a,MID0553,German,B,B,,B,1
a,MID0554,German,C,C,,C,1
a,MID0555,German,C,C,,C,1
a,MID0581,German,B,B,,B,1
a,MID0582,German,A,A,,A,1
a,MID0583,German,A,A,,A,1
a,MID0584,German,C,C,,C,1
a,MID0585,German,C,C,,C,1
a,MID0586,German,A,A,,A,1
a,MID0587,German,D,A,,A,0
a,MID0588,German,B,A,,A,0
a,MID0589,German,D,C,,C,0
a,MID0590,German,B,A,,A,0
a,MID0592,German,D,A,,A,0
a,MID0593,German,C,C,,C,1
a,MID0594,German,D,A,,A,0
a,MID0595,German,C,C,,C,1
a,MID0596,German,C,D,,D,0
a,MID0597,German,B,B,,B,1
a,MID0598,German,B,B,,B,1
a,MID0599,German,A,A,,A,1
a,MID0600,German,D,A,,A,0
a,MID0601,German,B,C,,C,0
a,MID0602,German,C,A,,A,0
a,MID0603,German,D,D,,D,1
a,MID0604,German,A,A,,A,1
a,MID0605,German,C,A,,A,0
a,MID0606,German,B,A,,A,0
a,MID0607,German,D,A,,A,0
a,MID0608,German,B,A,,A,0
a,MID0609,German,D,C,,C,0
a,MID0610,German,C,A,,A,0
a,MID0611,German,C,A,,A,0
a,MID0612,German,C,C,,C,1
a,MID0613,German,B,C,,C,0
a,MID0615,German,C,C,,C,1
a,MID0616,German,A,A,,A,1
a,MID0617,German,A,A,,A,1
a,MID0618,German,D,A,,A,0
a,MID0619,German,C,A,,A,0
a,MID0620,German,B,D,,D,0
a,MID0621,German,D,D,,D,1
a,MID0622,German,D,A,,A,0
a,MID0623,German,C,C,,C,1
a,MID0624,German,A,A,,A,1
a,MID0625,German,B,A,,A,0
a,MID0626,German,C,A,,A,0
a,MID0627,German,C,C,,C,1
a,MID0628,German,A,A,,A,1
a,MID0629,German,B,B,,B,1
a,MID0630,German,D,D,,D,1
a,MID0631,German,D,D,,D,1
a,MID0632,German,A,A,,A,1
a,MID0633,German,A,A,,A,1
a,MID0634,German,A,A,,A,1
a,MID0635,German,D,D,,D,1
a,MID0636,German,B,B,,B,1
a,MID0638,German,D,D,,D,1
a,MID0703,German,B,B,,B,1
a,MID0729,German,C,C,,C,1
a,MID0732,German,D,A,,A,0
a,MID0734,German,A,A,,A,1
a,MID0735,German,D,A,,A,0
a,MID0736,German,C,B,,B,0
a,MID0737,German,B,A,,A,0
a,MID0738,German,C,A,,A,0
a,MID0739,German,C,A,,A,0
a,MID0740,German,D,A,,A,0
a,MID0741,German,D,B,,B,0
a,MID0742,German,C,A,,A,0
a,MID0744,German,C,A,,A,0
a,MID0745,German,A,A,,A,1
a,MID0746,German,B,A,,A,0
a,MID0747,German,A,A,,A,1
a,MID0752,German,C,C,,C,1
a,MID0755,German,A,A,,A,1
a,MID0756,German,D,A,,A,0
a,MID0757,German,C,A,,A,0
a,MID0758,German,D,D,,D,1
a,MID0759,German,D,B,,B,0
a,MID0760,German,A,A,,A,1
a,MID0764,German,B,B,,B,1
a,MID0765,German,C,A,,A,0
a,MID0766,German,A,A,,A,1
