Sample_ID,source_text,english_translation,Cultural_Context
MID0001,آخر الحياة الموت," Live life to its fullest; Tempus fugit, utere.",A wisdom that has become a proverb about not caring about threats. 
MID0002,أتبع من الظل.,Sticks to them like a shadow.,The proverb refers to someone who follows another person more than his shadow follows him.
MID0003,أحْسِنْ إلى الناس تستعبد قلوبهم.,Kindness begets kindness.,It means that kindness and good treatment are the only way to gain people's love.
MID0004,أحضر الناس جوابًا من لم يغضب,"If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.","The proverb urges calm and patience, as anger can sometimes make a person miss the opportunity to answer or lead him to the wrong answer."
MID0005,أحلام العصافير.,pie in the sky.,This proverb describes the dreams of fools. It is also said: “Lighter than a bird's dream.”
MID0006,أدنى من حبل الوريد.,closer than one's shadow.,"It means intense closeness, and it is quoted from the noble verse: “and We know what his soul whispers to him.”"
MID0007,أسمع جعجعة ولا أرى طحينا,Much ado about nothing.,"It is said about a man who talks a lot but does not work, and who makes promises but does not fulfill them."
MID0008,أسمعٌ صوتا وأرى فوتا.,Much ado about nothing,"Fawt: passed and went away. The proverb means literally: ""I hear words and speech but I do not see action and implementation."" It is said about someone who makes excuses but does not fulfill his promise. In the same meaning, it is said: ""I hear the noise but I do not see the grinding""."
MID0009,أطلق ساقيه للريح,Runs like the wind.,"The wind, in its fast blowing, is a metaphor for someone who raced and used his legs to quickly get away from a place of danger that he feared might overtake him or kill him."
MID0010,أعدل الشهود التجارب.,Experience is the best teacher,The proverb means that the experiences a person goes through make him learn and realize many situations in life.
MID0011,أفعال لا أقوال.,Action speaks louder than words,"This proverb means that actions express intentions and sincerity more than words. It indicates that what a person does is more important and valuable than what he says, as actions reveal the true intention of people."
MID0012,أكل عليه الدهر وشرب,Be old hat. / It’s as old as the hills.,"A proverb used by Arabs to describe something old or someone who has lived a long time. In other words, it refers to something that has been around for a long time and has become outdated or unfashionable."
MID0013,أول الغضب جنون وآخره ندم,A man of quick temper acts foolishly.,"This proverb means that when a person gets angry, they lose control of themselves and act irrationally, but when they calm down, they feel regret for their previous actions and wish they had acted better. This proverb highlights the importance of calmness and thinking before taking any action."
MID0014,إذا أنت أكرمت الكريم ملكته وإن أنت أكرمت اللئيم تمردا,"Never trust on unknown hands, you will never know how they stand by you and back stab with their brains.","It is a verse of poetry by Al-Mutanabbi means: If you do good to someone who is not good, he will be ungrateful for your blessings and will not thank you for your kindness to him."
MID0015,إذا دخلت قرية فاحلف بآلهتها.,"When in Rome, do as the Romans do.","The proverb means adapting to your environment, and not deviating from the customs and traditions of the people."
MID0016,إذا ذكرت الذئب فأعد له العصا.,"when you speak of the storm, ready your sails",The proverb urges us to be well prepared for things and not to be negligent.
MID0017,إذا ذكرت الذئب فخذ الحذر.,"when you speak of the storm, ready your sails",The proverb urges us to be well prepared for things and not to be negligent.
MID0018,إذا رأيتَ أنيابَ الليثِ بارزة، فلا تَظُننَّ أنَّ الليثَ يبتسمُ,Don't judge a book by its cover.,"This proverb means that when you see warning or danger signs, you should not think them a sign of kindness. The idea is that protruding fangs are a signal of danger or threat, not a sign of a smile or greeting."
MID0019,إذا كَانَ الكَلَامُ مِن فِضَّة فالسُكُوت مِن ذَهَب,"Speech is silver, silence is golden",A proverb shows the importance of silence compared to useless and meaningless talk.
MID0020,إذا هبّت رياحك فاغتنمها,Make hay while the sun shines.,"This proverb is quoted from a line of poetry, urging people to seize opportunities if they are available. The Arabs used to rely on this proverb in sorting out crops and grains such as barley and wheat, as they relied on the winds to separate the wheat from the straw. Just as sailors relied on the winds and their directions in order to move their sailing ships, these ships were a means for them to move between countries, and were not a means of luxury and comfort."
MID0021,إلى حتفي مشت قدمي.,I dug my own grave.,A short phrase that means I strove with all my will to an end that I discovered I had chosen for myself.
MID0022,إن البعوضة تدمي مقلة الأسد.,Little enemies and little wounds must not be despised,"""Do not belittle a small person in a quarrel... A mosquito can bleed a lion's eye."" This is a popular proverb that means not to underestimate your enemy or anyone you are in a quarrel with, because a mosquito is the smallest insect in size, but it can sting the lion's eyeball and make it bleed severely, and the lion, with all its strength, cannot do anything to it or harm it at all. There is a verse in the Quran that indicates the same meaning, when God Almighty said, meaning that if a fly takes something from someone, he can never get it back. So, your enemy may have a high ability to harm you and you do not know, so do not belittle anyone, no matter how weak he appears to you."
MID0023,إن الجبان حتفه من فوقه.,the destiny of a coward comes from over him.,"The proverb indicates that a coward dies faster than a brave man, because death comes to him from where he has no defense. The proverb is used to show the uselessness of caution in the face of fate."
