task,strategy,language,model,n_items,parse_pct,complete_pct,avg_distinct,quality
a,zs,Yoruba,qwen-3-235b-a22b-instruct-2507,2000,81.6,81.5,0.71,78.4
a,cot_en,Yoruba,llama-3.3-70b-versatile,2000,98.4,97.2,0.8,92.5
a,zs,Arabic,qwen-3-235b-a22b-instruct-2507,803,87.8,83.5,0.74,82.4
a,cot_en,Arabic,llama-3.3-70b-versatile,803,98.1,93.8,0.77,90.4
a,zs,English,qwen-3-235b-a22b-instruct-2507,2278,98.6,97.9,0.91,96.0
a,zs,French,qwen-3-235b-a22b-instruct-2507,160,99.4,96.2,0.89,95.3
a,zs,Spanish,qwen-3-235b-a22b-instruct-2507,62,100.0,99.5,0.91,97.1
a,zs,German,qwen-3-235b-a22b-instruct-2507,141,100.0,95.0,0.91,95.7
b,zs,Yoruba,qwen-3-235b-a22b-instruct-2507,2000,98.2,98.2,0.95,97.1
b,zs,Arabic,qwen-3-235b-a22b-instruct-2507,803,99.6,99.6,0.94,97.9
b,zs,English,qwen-3-235b-a22b-instruct-2507,2278,98.6,97.9,0.91,96.0
b,zs,French,qwen-3-235b-a22b-instruct-2507,160,100.0,100.0,0.96,98.7
b,zs,Spanish,qwen-3-235b-a22b-instruct-2507,62,100.0,98.4,0.97,98.7
a,cot_en,English,llama-3.3-70b-versatile,1990,99.6,97.6,0.84,94.2
b,zs,German,qwen-3-235b-a22b-instruct-2507,141,100.0,100.0,0.96,98.8
a,cot_en,French,llama-3.3-70b-versatile,160,100.0,96.5,0.89,95.6
a,cot_en,Spanish,llama-3.3-70b-versatile,62,100.0,98.4,0.87,95.5
a,cot_en,German,llama-3.3-70b-versatile,141,100.0,95.7,0.88,95.2
a,cot_xl,Yoruba,llama-3.1-8b-instant,2000,94.0,88.2,0.73,86.1
a,cot_xl,Arabic,llama-3.1-8b-instant,803,95.3,86.5,0.74,86.3
a,cot_xl,English,llama-3.1-8b-instant,2278,91.5,86.6,0.76,85.3
a,cot_xl,French,llama-3.1-8b-instant,160,95.0,86.7,0.75,86.6
a,cot_xl,Spanish,llama-3.1-8b-instant,62,91.9,80.6,0.71,82.4
a,cot_xl,German,llama-3.1-8b-instant,141,93.6,82.5,0.72,83.9
b,cot_en,Yoruba,llama-3.3-70b-versatile,2000,99.0,98.7,0.9,96.3
b,cot_en,Arabic,llama-3.3-70b-versatile,803,99.5,98.4,0.91,96.6
b,cot_en,English,llama-3.3-70b-versatile,2278,99.3,96.9,0.9,95.9
b,cot_en,French,llama-3.3-70b-versatile,160,100.0,99.6,0.91,97.1
b,cot_en,Spanish,llama-3.3-70b-versatile,62,100.0,99.5,0.9,97.0
b,cot_en,German,llama-3.3-70b-versatile,141,100.0,99.3,0.91,97.0
b,cot_xl,Yoruba,llama-3.1-8b-instant,2000,99.4,98.3,0.87,95.4
b,cot_xl,Arabic,llama-3.1-8b-instant,803,98.9,97.5,0.87,94.8
b,cot_xl,English,llama-3.1-8b-instant,2278,99.2,98.1,0.85,94.7
b,cot_xl,French,llama-3.1-8b-instant,160,98.1,96.2,0.87,94.2
b,cot_xl,Spanish,llama-3.1-8b-instant,62,98.4,98.4,0.87,95.0
b,cot_xl,German,llama-3.1-8b-instant,141,100.0,97.9,0.88,95.7
