task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_en,French,MID0001,L’habit ne fait pas le moine,The vestment does not make the monk,The vestment does not make the monk,False,Only certain fabrics can make a monk's vestment,Wearing a monk's robe is uncomfortable,The vestment does not make the monk,Putting on a vestment magically turns someone into a monk,C,Wearing a monk's robe is uncomfortable,Only certain fabrics can make a monk's vestment,Putting on a vestment magically turns someone into a monk,"<reasoning>The proverb ""L’habit ne fait pas le moine"" or ""The vestment does not make the monk"" suggests that it's not the outward appearance or the clothes someone wears that defines their character, profession, or nature, but rather their actions, beliefs, and inner qualities. A wrong literal interpretation might focus on the physical aspects or superficial characteristics, misunderstanding the d",1.0,1.0,1.14,0.88,96.4
a,cot_en,French,MID0002,Qui vivra verra,"He/she who lives, shall see.","He/she who lives, shall see.",False,Seeing is a direct result of being alive,"The longer you live, the more you'll see",Only living beings can see,"He/she who lives, shall see.",D,Only living beings can see,"The longer you live, the more you'll see",Seeing is a direct result of being alive,"<reasoning>The proverb ""Qui vivra verra"" or ""He/she who lives, shall see"" can be misinterpreted in various ways if taken literally. A reader might think it implies that the act of living is directly related to the act of seeing, possibly in a physical sense. Another wrong interpretation could be that it suggests only those who are alive can see, implying that seeing is an exclusive ability of the ",1.0,1.0,1.4,0.97,99.1
a,cot_en,French,MID0003,Chacun voit midi à sa porte,Each person sees noon at his/her door.,Each person sees noon at his/her door.,False,people can see the sun at its highest point from their doorstep,everyone has a clock or sundial at their door to show noon,Each person sees noon at his/her door.,the shadow of the door falls on a specific spot at noon,C,people can see the sun at its highest point from their doorstep,everyone has a clock or sundial at their door to show noon,the shadow of the door falls on a specific spot at noon,"<reasoning>When interpreting the proverb ""Chacun voit midi à sa porte"" literally, a reader might misunderstand it as being related to the actual time of day or the physical location of noon. They might think it's about people seeing the noon sun at their doorstep, or that it's related to a specific time-keeping or astronomical phenomenon. Another wrong interpretation could be about people having a",1.0,1.0,1.71,0.87,96.1
a,cot_en,French,MID0004,Mieux vaut prévenir que guérir,It’s better to prevent than to heal.,It’s better to prevent than to heal.,False,never go to the doctor because prevention is better,It’s better to prevent than to heal.,always stop a fight before it starts,it's always cheaper to prevent a problem than to fix it,B,always stop a fight before it starts,never go to the doctor because prevention is better,it's always cheaper to prevent a problem than to fix it,"<reasoning>When translating the French proverb ""Mieux vaut prévenir que guérir"" to English as ""It’s better to prevent than to heal,"" a literal reader might misinterpret the phrase in several ways. They might think it's solely about medical conditions, or perhaps about preparing for physical altercations. Another misinterpretation could be about the priority of stopping something from happening ove",1.0,1.0,1.29,0.91,97.3
a,cot_en,French,MID0005,"Qui n’avance pas, recule","Who does not move forward, recedes.","Who does not move forward, recedes.",False,A car is rolling down a hill in reverse,A machine is malfunctioning and moving in reverse,"Who does not move forward, recedes.",The person is physically walking backwards,C,The person is physically walking backwards,A car is rolling down a hill in reverse,A machine is malfunctioning and moving in reverse,"<reasoning>When translating the French proverb ""Qui n’avance pas, recule"" to English as ""Who does not move forward, recedes,"" a literal interpretation might lead to misunderstandings. The phrase could be taken to imply physical movement or progression in a literal sense, rather than the intended metaphorical progression or improvement. Thus, wrong literal readings might include thinking the prover",1.0,1.0,1.28,0.84,95.2
a,cot_en,French,MID0006,Il ne faut pas se fier aux apparences,One should not trust appearances.,One should not trust appearances.,False,Photographs are always deceptive,One should not trust appearances.,Stop believing your own eyes,Do not trust mirrors,B,Do not trust mirrors,Photographs are always deceptive,Stop believing your own eyes,"<reasoning>When considering the proverb ""Il ne faut pas se fier aux apparences"" or its English translation ""One should not trust appearances,"" a literal but incorrect interpretation might stem from misunderstanding the phrase's figurative intent. The phrase is cautioning against judging situations or people based on how they seem, rather than their true nature. However, a wrong literal reading cou",1.0,0.3333333333333333,0.87,1.0,80.0
a,cot_en,French,MID0007,"Petit à petit, l’oiseau fait son nid","Little by little, the bird makes its nest.","Little by little, the bird makes its nest.",False,"Little by little, the bird makes its nest.",Birds build their nests in a very short time,Only small birds can build nests,The bird uses tiny twigs to build its nest,A,The bird uses tiny twigs to build its nest,Only small birds can build nests,Birds build their nests in a very short time,"<reasoning>The French proverb ""Petit à petit, l’oiseau fait son nid"" translated to English as ""Little by little, the bird makes its nest"" is a saying that means tasks can be accomplished gradually, by taking small steps. However, if taken literally, it might be misinterpreted in several ways. For example, one might assume the phrase is about the physical process of nest-building, the size of the b",1.0,1.0,1.0,0.87,96.1
a,cot_en,French,MID0008,"Aussitôt dit, aussitôt fait","As soon as said, as soon as done.","As soon as said, as soon as done.",False,actions must follow words instantly without consideration,"As soon as said, as soon as done.",every word must be acted upon,speaking and acting simultaneously,B,speaking and acting simultaneously,every word must be acted upon,actions must follow words instantly without consideration,"<reasoning>The proverb ""Aussitôt dit, aussitôt fait"" or ""As soon as said, as soon as done"" is an idiom that means when someone says they are going to do something, they do it immediately. A literal reading might lead to misunderstandings. For instance, one might think it implies that any action is taken the moment it is spoken, without consideration for its feasibility or appropriateness. Another ",1.0,0.6666666666666666,0.71,0.97,89.1
a,cot_en,French,MID0009,Bien mal acquis ne profite jamais,A badly acquired good never benefits.,A badly acquired good never benefits.,False,Goods obtained through illegal activities are always of poor quality,A badly acquired good never benefits.,A product that is flawed in design will never be useful,An item purchased during a time of personal tragedy will never bring joy,B,A product that is flawed in design will never be useful,An item purchased during a time of personal tragedy will never bring joy,Goods obtained through illegal activities are always of poor quality,"<reasoning>The French proverb ""Bien mal acquis ne profite jamais"" translates to ""A badly acquired good never benefits"" in English. A literal reading might misunderstand the phrase to be about physical goods that are damaged or flawed in some way, rather than focusing on the moral implications of how something was acquired. For example, one might interpret it as referring to a product that is poorl",1.0,1.0,1.89,0.94,98.2
a,cot_en,French,MID0010,"Qui court deux lièvres à la fois, n’en prend aucun","Who runs after two hares at the same time, catches none.","Who runs after two hares at the same time, catches none.",False,Chasing two hares causes them to breed faster and produce more offspring,The speed of two hares is always greater than the speed of one hunter,"Who runs after two hares at the same time, catches none.",Hares can only be caught one at a time due to hunting regulations,C,Hares can only be caught one at a time due to hunting regulations,Chasing two hares causes them to breed faster and produce more offspring,The speed of two hares is always greater than the speed of one hunter,"<reasoning>The proverb suggests that if someone tries to pursue two different goals or opportunities simultaneously, they will likely fail to achieve either one. A literal reading might lead to incorrect interpretations, such as the idea that the physical act of running after hares is inherently flawed or that there is a specific limitation on the number of hares one can catch. These interpretatio",1.0,1.0,1.18,0.91,97.3
