task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
a,0,English,D,A,,A,0
a,3,English,B,A,,A,0
a,4,English,C,A,,A,0
a,5,English,A,A,,A,1
a,6,English,D,B,,B,0
a,7,English,B,A,,A,0
a,8,English,D,B,,B,0
a,9,English,B,D,,D,0
a,10,English,D,A,,A,0
a,11,English,B,A,,A,0
a,12,English,C,A,,A,0
a,13,English,B,B,,B,1
a,14,English,A,B,,B,0
a,15,English,A,B,,B,0
a,16,English,B,A,,A,0
a,17,English,D,C,,C,0
a,18,English,B,B,,B,1
a,19,English,D,A,,A,0
a,20,English,B,A,,A,0
a,21,English,A,A,,A,1
a,23,English,B,A,,A,0
a,24,English,B,A,,A,0
a,25,English,B,A,,A,0
a,26,English,D,A,,A,0
a,27,English,C,A,,A,0
a,28,English,C,D,,D,0
a,29,English,D,A,,A,0
a,30,English,B,A,,A,0
a,31,English,A,D,,D,0
a,32,English,C,A,,A,0
a,33,English,B,A,,A,0
a,34,English,B,D,,D,0
a,36,English,C,A,,A,0
a,37,English,D,A,,A,0
a,38,English,A,A,,A,1
a,39,English,A,A,,A,1
a,40,English,C,A,,A,0
a,41,English,A,B,,B,0
a,42,English,C,D,,D,0
a,43,English,B,A,,A,0
a,44,English,B,A,,A,0
a,45,English,C,A,,A,0
a,46,English,D,A,,A,0
a,47,English,B,A,,A,0
a,48,English,B,B,,B,1
a,49,English,D,A,,A,0
a,50,English,B,A,,A,0
a,51,English,C,A,,A,0
a,52,English,D,A,,A,0
a,54,English,B,A,,A,0
a,55,English,B,D,,D,0
a,56,English,A,A,,A,1
a,57,English,C,A,,A,0
a,58,English,A,A,,A,1
a,60,English,C,A,,A,0
a,61,English,D,A,,A,0
a,62,English,A,B,,B,0
a,63,English,D,A,,A,0
a,64,English,B,A,,A,0
a,65,English,D,A,,A,0
a,66,English,C,A,,A,0
a,67,English,C,B,,B,0
a,68,English,B,A,,A,0
a,69,English,B,A,,A,0
a,70,English,B,A,,A,0
a,71,English,B,A,,A,0
a,72,English,A,A,,A,1
a,73,English,D,A,,A,0
a,74,English,B,B,,B,1
a,75,English,A,A,,A,1
a,76,English,D,A,,A,0
a,77,English,B,A,,A,0
a,78,English,A,A,,A,1
a,79,English,B,A,,A,0
a,80,English,A,D,,D,0
a,82,English,C,B,,B,0
a,83,English,D,A,,A,0
a,84,English,D,A,,A,0
a,85,English,A,A,,A,1
a,86,English,C,A,,A,0
a,87,English,D,A,,A,0
a,88,English,A,B,,B,0
a,89,English,C,A,,A,0
a,90,English,D,A,,A,0
a,91,English,A,B,,B,0
a,92,English,B,A,,A,0
a,93,English,A,A,,A,1
a,94,English,D,A,,A,0
a,95,English,C,A,,A,0
a,97,English,C,C,,C,1
a,98,English,A,B,,B,0
a,99,English,B,A,,A,0
a,100,English,B,A,,A,0
a,101,English,A,C,,C,0
a,102,English,B,A,,A,0
a,103,English,D,A,,A,0
a,104,English,B,A,A,A,0
a,105,English,C,A,,A,0
a,107,English,A,A,,A,1
a,108,English,D,D,,D,1
a,109,English,D,A,,A,0
a,110,English,C,A,,A,0
a,111,English,A,B,,B,0
a,112,English,B,A,,A,0
a,114,English,D,C,,C,0
a,115,English,D,A,,A,0
a,116,English,A,D,,D,0
a,117,English,C,A,,A,0
a,118,English,D,C,,C,0
a,119,English,B,A,,A,0
a,120,English,C,A,,A,0
a,122,English,D,A,,A,0
a,123,English,B,A,,A,0
a,124,English,A,A,,A,1
a,125,English,D,A,,A,0
a,126,English,D,A,,A,0
a,127,English,C,A,,A,0
a,128,English,C,D,,D,0
a,129,English,B,A,,A,0
a,131,English,B,A,,A,0
a,132,English,D,D,,D,1
a,133,English,A,B,,B,0
a,134,English,C,A,,A,0
a,135,English,B,A,,A,0
a,136,English,C,C,,C,1
a,137,English,B,A,,A,0
a,138,English,C,D,,D,0
a,139,English,D,A,,A,0
a,140,English,D,A,,A,0
a,143,English,C,A,,A,0
a,144,English,C,B,,B,0
a,145,English,A,B,,B,0
a,146,English,C,A,,A,0
a,147,English,A,A,,A,1
a,148,English,D,A,,A,0
a,149,English,D,A,,A,0
a,150,English,A,A,,A,1
a,151,English,B,B,,B,1
a,152,English,A,B,,B,0
a,153,English,B,D,,D,0
a,154,English,D,A,,A,0
a,155,English,B,A,,A,0
a,156,English,D,A,,A,0
a,157,English,A,D,,D,0
a,158,English,D,A,,A,0
a,159,English,C,A,,A,0
a,160,English,B,A,,A,0
a,161,English,A,A,,A,1
a,162,English,C,D,,D,0
a,164,English,D,A,,A,0
a,165,English,B,A,,A,0
a,167,English,C,A,,A,0
a,168,English,A,A,,A,1
a,170,English,C,A,,A,0
a,171,English,B,D,,D,0
a,172,English,A,B,,B,0
a,173,English,B,B,,B,1
a,174,English,B,A,,A,0
a,175,English,D,D,,D,1
a,176,English,A,B,,B,0
a,177,English,D,C,,C,0
a,178,English,B,C,,C,0
a,179,English,B,A,,A,0
a,180,English,B,D,,D,0
a,181,English,D,A,,A,0
a,183,English,A,A,,A,1
a,184,English,,A,,A,0
a,185,English,,A,A,A,0
a,186,English,,A,A,A,0
a,188,English,C,A,,A,0
a,189,English,C,A,,A,0
a,190,English,B,A,,A,0
a,192,English,D,A,,A,0
a,193,English,C,A,,A,0
a,195,English,C,A,,A,0
a,196,English,B,C,,C,0
a,197,English,A,A,,A,1
a,198,English,D,A,,A,0
a,199,English,A,A,,A,1
a,200,English,C,C,,C,1
a,201,English,B,B,,B,1
a,202,English,A,C,,C,0
a,204,English,C,A,,A,0
a,205,English,B,A,,A,0
a,206,English,D,A,,A,0
a,207,English,C,A,,A,0
a,208,English,B,A,,A,0
a,209,English,A,A,,A,1
a,210,English,D,C,,C,0
a,211,English,A,C,,C,0
a,212,English,A,D,,D,0
a,213,English,D,A,,A,0
a,215,English,D,A,,A,0
a,216,English,B,A,,A,0
a,217,English,A,A,,A,1
a,218,English,D,A,,A,0
a,219,English,C,D,,D,0
a,221,English,D,A,,A,0
a,222,English,D,A,,A,0
a,223,English,D,B,,B,0
a,224,English,C,A,,A,0
a,225,English,D,A,,A,0
a,226,English,D,A,,A,0
a,227,English,C,A,,A,0
a,229,English,B,A,,A,0
a,230,English,B,A,,A,0
a,232,English,A,A,,A,1
a,233,English,D,A,,A,0
a,234,English,C,C,,C,1
a,235,English,A,C,,C,0
a,236,English,B,B,,B,1
a,237,English,B,D,,D,0
a,238,English,C,C,,C,1
a,239,English,B,A,,A,0
a,240,English,B,A,,A,0
a,242,English,C,A,,A,0
a,244,English,D,A,,A,0
a,245,English,A,A,,A,1
a,247,English,A,B,,B,0
a,251,English,B,B,,B,1
a,254,English,C,A,,A,0
a,255,English,B,D,,D,0
a,256,English,B,A,,A,0
a,257,English,B,A,,A,0
a,258,English,A,A,,A,1
a,259,English,D,B,,B,0
a,260,English,B,A,,A,0
a,261,English,D,A,,A,0
a,262,English,C,D,,D,0
a,264,English,D,A,,A,0
a,265,English,C,A,,A,0
a,266,English,C,A,,A,0
a,267,English,A,A,,A,1
a,268,English,D,A,,A,0
a,269,English,B,A,,A,0
a,271,English,D,C,,C,0
a,272,English,B,A,,A,0
a,274,English,A,A,,A,1
a,275,English,B,A,,A,0
a,276,English,D,A,,A,0
a,277,English,C,A,,A,0
a,278,English,B,B,,B,1
a,279,English,D,C,,C,0
a,280,English,B,B,,B,1
a,281,English,D,C,,C,0
a,283,English,C,A,,A,0
a,285,English,C,A,,A,0
a,287,English,A,B,,B,0
a,288,English,A,A,,A,1
a,289,English,B,A,,A,0
a,290,English,A,A,,A,1
a,291,English,C,A,,A,0
a,293,English,D,A,,A,0
a,296,English,D,D,,D,1
a,297,English,A,A,,A,1
a,298,English,D,C,,C,0
a,299,English,D,A,,A,0
a,300,English,B,A,,A,0
a,301,English,D,A,,A,0
a,302,English,C,A,,A,0
a,303,English,D,A,,A,0
a,305,English,B,A,,A,0
a,306,English,A,D,,D,0
a,307,English,B,A,,A,0
a,308,English,B,A,,A,0
a,309,English,B,A,,A,0
a,310,English,D,A,,A,0
a,311,English,C,A,,A,0
a,312,English,B,A,,A,0
a,313,English,D,B,,B,0
a,314,English,C,A,,A,0
a,315,English,B,A,,A,0
a,316,English,B,C,,C,0
a,317,English,C,A,,A,0
a,318,English,B,A,,A,0
a,319,English,C,A,,A,0
a,320,English,C,A,,A,0
a,321,English,A,B,,B,0
a,322,English,C,B,,B,0
a,323,English,B,A,,A,0
a,324,English,A,A,,A,1
a,325,English,B,A,,A,0
a,326,English,A,A,,A,1
a,328,English,B,A,,A,0
a,20,English,A,A,,A,1
a,40,English,C,A,,A,0
a,42,English,B,A,,A,0
a,45,English,D,A,,A,0
a,46,English,C,A,,A,0
a,57,English,D,B,,B,0
a,58,English,D,A,,A,0
a,59,English,B,C,,C,0
a,60,English,B,A,,A,0
a,61,English,D,D,,D,1
a,62,English,C,D,,D,0
a,75,English,A,A,,A,1
a,76,English,A,A,,A,1
a,77,English,A,A,,A,1
a,78,English,C,C,,C,1
a,79,English,D,D,,D,1
a,80,English,A,A,,A,1
a,81,English,C,A,,A,0
a,82,English,B,A,,A,0
a,83,English,D,A,,A,0
a,84,English,C,A,,A,0
a,85,English,B,B,,B,1
a,86,English,A,A,,A,1
a,87,English,A,A,,A,1
a,88,English,C,C,,C,1
a,89,English,C,B,,B,0
a,90,English,B,A,,A,0
a,91,English,C,A,,A,0
a,92,English,B,A,,A,0
a,93,English,C,D,,D,0
a,94,English,D,B,,B,0
a,95,English,A,B,,B,0
a,96,English,A,C,,C,0
a,97,English,A,D,,D,0
a,98,English,D,A,,A,0
a,99,English,C,A,,A,0
a,100,English,B,A,,A,0
a,101,English,A,A,,A,1
a,102,English,A,A,,A,1
a,103,English,D,A,,A,0
a,104,English,C,C,,C,1
a,106,English,A,A,,A,1
a,107,English,A,A,,A,1
a,108,English,B,B,,B,1
a,109,English,A,A,,A,1
a,110,English,A,A,,A,1
a,111,English,A,A,,A,1
a,112,English,D,A,,A,0
a,113,English,D,A,,A,0
a,114,English,B,A,,A,0
a,115,English,C,C,,C,1
a,116,English,D,C,,C,0
a,117,English,C,C,,C,1
a,118,English,A,A,,A,1
a,119,English,B,B,,B,1
a,120,English,D,D,,D,1
a,121,English,B,A,,A,0
a,122,English,C,A,,A,0
a,123,English,,A,A,A,0
a,124,English,A,A,,A,1
a,125,English,C,C,,C,1
a,126,English,D,A,,A,0
a,127,English,B,A,,A,0
a,128,English,B,A,,A,0
a,129,English,C,A,,A,0
a,130,English,B,A,,A,0
a,131,English,C,A,,A,0
a,132,English,A,A,,A,1
a,133,English,A,A,,A,1
a,134,English,C,A,,A,0
a,135,English,D,A,,A,0
a,136,English,D,A,,A,0
a,137,English,B,C,,C,0
a,138,English,,A,,A,0
a,139,English,C,A,,A,0
a,141,English,D,A,,A,0
a,142,English,D,D,,D,1
a,143,English,B,B,,B,1
a,144,English,A,B,,B,0
a,145,English,C,A,,A,0
a,146,English,D,A,,A,0
a,147,English,C,B,,B,0
a,148,English,B,A,,A,0
a,149,English,B,C,,C,0
a,150,English,D,D,,D,1
a,151,English,A,A,,A,1
a,152,English,C,A,,A,0
a,153,English,B,A,,A,0
a,154,English,C,B,,B,0
a,155,English,D,A,,A,0
a,156,English,A,A,,A,1
a,157,English,A,B,,B,0
a,158,English,B,A,,A,0
a,159,English,C,C,,C,1
a,160,English,D,B,,B,0
a,161,English,C,B,,B,0
a,162,English,C,A,,A,0
a,163,English,D,A,,A,0
a,164,English,A,A,,A,1
a,165,English,,A,A,A,0
a,166,English,C,A,,A,0
a,192,English,C,A,,A,0
a,193,English,D,A,,A,0
a,198,English,D,A,,A,0
a,199,English,B,B,,B,1
a,203,English,D,D,,D,1
a,204,English,B,A,,A,0
a,205,English,B,A,,A,0
a,206,English,B,A,,A,0
a,207,English,A,A,,A,1
a,208,English,C,A,,A,0
a,209,English,D,A,,A,0
a,215,English,C,A,,A,0
a,219,English,D,A,,A,0
a,221,English,D,D,,D,1
a,224,English,C,C,,C,1
a,230,English,C,C,,C,1
a,231,English,A,A,,A,1
a,232,English,A,A,,A,1
a,234,English,C,D,,D,0
a,236,English,A,A,,A,1
a,238,English,D,A,,A,0
a,239,English,B,A,,A,0
a,241,English,B,A,,A,0
a,242,English,C,B,,B,0
a,243,English,D,A,,A,0
a,244,English,A,A,,A,1
a,245,English,B,A,,A,0
a,246,English,A,A,,A,1
a,249,English,B,B,,B,1
a,260,English,B,A,,A,0
a,261,English,A,A,,A,1
a,262,English,A,A,,A,1
a,264,English,D,D,,D,1
a,267,English,,A,,A,0
a,271,English,A,A,,A,1
a,272,English,C,A,,A,0
a,273,English,C,A,,A,0
a,274,English,A,A,,A,1
a,276,English,C,A,,A,0
a,277,English,A,A,,A,1
a,279,English,C,B,,B,0
a,280,English,B,A,,A,0
a,281,English,A,B,,B,0
a,282,English,C,A,,A,0
a,283,English,C,B,,B,0
a,285,English,D,A,,A,0
a,286,English,C,A,,A,0
a,288,English,C,C,,C,1
a,292,English,D,B,,B,0
a,295,English,B,A,,A,0
a,296,English,D,A,,A,0
a,297,English,,A,A,A,0
a,298,English,D,A,,A,0
a,299,English,A,A,,A,1
a,300,English,A,A,,A,1
a,302,English,C,C,,C,1
a,303,English,C,A,,A,0
a,304,English,D,D,,D,1
a,305,English,D,A,,A,0
a,306,English,B,A,,A,0
a,307,English,B,D,,D,0
a,309,English,B,B,,B,1
a,310,English,A,D,,D,0
a,311,English,C,C,,C,1
a,313,English,B,A,,A,0
a,314,English,A,C,,C,0
a,315,English,C,D,,D,0
a,316,English,C,A,,A,0
a,317,English,B,A,,A,0
a,318,English,C,A,,A,0
a,319,English,B,A,,A,0
a,322,English,D,A,,A,0
a,323,English,A,B,,B,0
a,324,English,B,A,,A,0
a,325,English,D,A,,A,0
a,326,English,B,A,,A,0
a,327,English,B,A,,A,0
a,328,English,D,B,,B,0
a,329,English,,A,,A,0
a,330,English,B,A,,A,0
a,331,English,C,A,,A,0
a,332,English,B,A,,A,0
a,335,English,D,A,,A,0
a,336,English,D,B,,B,0
a,337,English,D,D,,D,1
a,339,English,C,A,,A,0
a,341,English,C,C,,C,1
a,342,English,C,C,,C,1
a,343,English,B,A,,A,0
a,344,English,D,A,,A,0
a,345,English,C,C,,C,1
a,346,English,D,A,,A,0
a,347,English,A,A,,A,1
a,348,English,B,A,,A,0
a,351,English,B,A,,A,0
a,353,English,C,C,,C,1
a,354,English,A,A,,A,1
a,355,English,C,A,,A,0
a,356,English,A,B,,B,0
a,357,English,D,A,,A,0
a,358,English,C,D,,D,0
