task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_xl,Yoruba,YOR0001,A di gàárì sílẹ́ ewúrẹ́ ńyọjú; ẹrù ìran rẹ́ ni?,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",Goats that know their place do not offer their backs to be saddled.,True,"People of noble lineage should not burden themselves with tasks that are beneath their status, just like a goat will not present itself for a saddle.",You should always prepare for guests because they will appear unexpectedly like a goat ready for the saddle.,"When a goat is ready to be saddled, it's a sign of its willingness to serve the community, and this proverb encourages us to find willing workers.",Goats that know their place do not offer their backs to be saddled.,D,You should always prepare for guests because they will appear unexpectedly like a goat ready for the saddle.,"People of noble lineage should not burden themselves with tasks that are beneath their status, just like a goat will not present itself for a saddle.","When a goat is ready to be saddled, it's a sign of its willingness to serve the community, and this proverb encourages us to find willing workers.","[""You should always prepare for guests because they will appear unexpectedly like a goat ready for the saddle."", ""People of noble lineage should not burden themselves with tasks that are beneath their status, just like a goat will not present itself for a saddle."", ""When a goat is ready to be saddled, it's a sign of its willingness to serve the community, and this proverb encourages us to find wil",1.0,1.0,1.82,0.87,96.1
b,cot_xl,Yoruba,YOR0002,A fi ọ́ jọba ò ńṣàwúre; o fẹ́ẹ́ jẹ Ọlọ́run ni?,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",Being crowned a king is about the best fortune a mortal could hope for.,True,A king's reliance on charms signifies a desire for supernatural assistance to maintain order.,A king who makes good-luck charms is showing insecurity about their reign.,Being crowned a king is about the best fortune a mortal could hope for.,The use of good-luck charms implies a distrust in the legitimacy of their kingship.,C,A king who makes good-luck charms is showing insecurity about their reign.,The use of good-luck charms implies a distrust in the legitimacy of their kingship.,A king's reliance on charms signifies a desire for supernatural assistance to maintain order.,"[""A king who makes good-luck charms is showing insecurity about their reign."", 
""The use of good-luck charms implies a distrust in the legitimacy of their kingship."", 
""A king's reliance on charms signifies a desire for supernatural assistance to maintain order.""]",1.0,1.0,0.95,0.88,96.4
b,cot_xl,Yoruba,YOR0003,"A fijó gba Awà; a fìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?","By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight but take possession of Awà anyway, is the result not the same?",Why make a huge production of a matter that is easily taken care of?,True,"To take possession of something, you need to show it who's boss.",Why make a huge production of a matter that is easily taken care of?,"If you don't enjoy the music, the dance won't be worth it.",The result is the same as long as you're having fun or a good time.,B,"If you don't enjoy the music, the dance won't be worth it.","To take possession of something, you need to show it who's boss.",The result is the same as long as you're having fun or a good time.,"[""If you don't enjoy the music, the dance won't be worth it."", ""To take possession of something, you need to show it who's boss."", ""The result is the same as long as you're having fun or a good time.""]",1.0,1.0,0.93,0.97,99.1
b,cot_xl,Yoruba,YOR0004,A gbé gàárì ọmọ ewúrẹ́ ńrojú; kì í ṣe ẹrù àgùntàn.,We lift a saddle and the goat scowls; it is no burden for a sheep.,"The goat has no cause to scowl, because no one will condescend to ride it anyway.",True,wrong 2,"The goat has no cause to scowl, because no one will condescend to ride it anyway.",wrong 3,wrong 1,B,wrong 1,wrong 2,wrong 3,"[""wrong 1"", ""wrong 2"", ""wrong 3""] 

wrong 1: The goat has no cause to scowl when it sees another goat saddled, implying that goats are competitive.
wrong 2: The goat scowls because it's trying to protect the sheep from a potential load, showing its altruistic nature.
wrong 3: The goat's scowl signifies its frustration with the sheep for not being saddled as well, revealing a sense of social injust",1.0,0.0,0.12,0.67,60.1
b,cot_xl,Yoruba,YOR0005,A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀.,One does not share a farm boundary with a king without getting one’s feet gashed by the king’s hoe.,One should be cautious in dealing with people in authority.,True,A king will always prioritize a farmer's land over a common border,One should avoid sharing a farm fence with a monarch who uses an old-fashioned tool,One should be cautious in dealing with people in authority.,One should never farm near a royal family's ancestral lands,C,One should never farm near a royal family's ancestral lands,One should avoid sharing a farm fence with a monarch who uses an old-fashioned tool,A king will always prioritize a farmer's land over a common border,"[""One should never farm near a royal family's ancestral lands"", ""One should avoid sharing a farm fence with a monarch who uses an old-fashioned tool"", ""A king will always prioritize a farmer's land over a common border""]",1.0,1.0,1.23,0.9,97.0
b,cot_xl,Yoruba,YOR0006,A kì í bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.,One does not so fear death and disease that one asks that one’s child die before one.,One should not be more concerned with saving oneself than with saving one’s dependents.,True,One does not fear death and disease so much that one should let their child suffer without medical attention.,"In the face of illness, a parent should prioritize their own safety to secure the family's future.","Death and disease should be seen as threats to the family, not the individual, but it's okay to prioritize one's own recovery first.",One should not be more concerned with saving oneself than with saving one’s dependents.,D,One does not fear death and disease so much that one should let their child suffer without medical attention.,"In the face of illness, a parent should prioritize their own safety to secure the family's future.","Death and disease should be seen as threats to the family, not the individual, but it's okay to prioritize one's own recovery first.","[""One does not fear death and disease so much that one should let their child suffer without medical attention."", ""In the face of illness, a parent should prioritize their own safety to secure the family's future."", ""Death and disease should be seen as threats to the family, not the individual, but it's okay to prioritize one's own recovery first.""]",1.0,1.0,1.4,0.88,96.4
b,cot_xl,Yoruba,YOR0007,A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́.,One does not get angry with the rubbish dump and discard one’s rubbish into the bush.,One should not act in unreasonable and harmful ways because of anger.,True,One should not act in unreasonable and harmful ways because of anger.,One should never get angry when looking for food.,One gets angry with people who don't contribute to society.,One's anger should only be directed towards oneself.,A,One should never get angry when looking for food.,One gets angry with people who don't contribute to society.,One's anger should only be directed towards oneself.,"[""One should never get angry when looking for food."",
""One gets angry with people who don't contribute to society."",
""One's anger should only be directed towards oneself.""]",1.0,1.0,0.75,0.94,98.2
b,cot_xl,Yoruba,YOR0008,A kì í bínú orí ká fi fìlà dé ìbàdí.,One does not get angry with one’s head and therefore use one’s cap to cover one’s buttocks.,Do not cut off your nose to spite your face.,True,Do not cut off your nose to spite your face.,One should never go to bed with an upset stomach.,Be mindful of your hairstyle choices.,You shouldn't eat before your head has had a chance to digest food.,A,One should never go to bed with an upset stomach.,Be mindful of your hairstyle choices.,You shouldn't eat before your head has had a chance to digest food.,"[""One should never go to bed with an upset stomach."",
""Be mindful of your hairstyle choices."",
""You shouldn't eat before your head has had a chance to digest food.""]",1.0,1.0,0.97,0.97,99.1
b,cot_xl,Yoruba,YOR0009,A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ.,"One does not sacrifice to a god in the pres ence of a house rat; otherwise, when night falls it invades the rafter shelves.",Do not do things that might constitute temptation to others.,True,"A house rat is actually a symbol of prosperity, and sacrificing to a god in its presence will bring good fortune.",Do not do things that might constitute temptation to others.,"The proverb is warning against the dangers of keeping food in the home, as even a house rat can become a thief in the night.","One should never worship a powerful god in a small shrine, lest it feel oppressed and seek revenge.",B,"One should never worship a powerful god in a small shrine, lest it feel oppressed and seek revenge.","A house rat is actually a symbol of prosperity, and sacrificing to a god in its presence will bring good fortune.","The proverb is warning against the dangers of keeping food in the home, as even a house rat can become a thief in the night.","[""One should never worship a powerful god in a small shrine, lest it feel oppressed and seek revenge."", ""A house rat is actually a symbol of prosperity, and sacrificing to a god in its presence will bring good fortune."", ""The proverb is warning against the dangers of keeping food in the home, as even a house rat can become a thief in the night.""]",1.0,1.0,2.13,0.88,96.4
b,cot_xl,Yoruba,YOR0010,A kì í dàgbà má làáyà; ibi ayé bá báni là ńjẹ ẹ́.,One does not become an adult and yet lack courage; one lives life as it finds one.,One should do what is fitting for one’s station in life.,True,One should do what is fitting for one’s station in life.,"Courage alone is enough to overcome any obstacle in life, no matter who you are or where you come from.",It is foolish to plan your life; you must simply follow your whims.,One should always be reckless and take risks.,A,One should always be reckless and take risks.,It is foolish to plan your life; you must simply follow your whims.,"Courage alone is enough to overcome any obstacle in life, no matter who you are or where you come from.","[""One should always be reckless and take risks."", ""It is foolish to plan your life; you must simply follow your whims."", ""Courage alone is enough to overcome any obstacle in life, no matter who you are or where you come from.""]",1.0,1.0,1.24,0.96,98.8
