task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
a,cot_xl,Arabic,MID0001,آخر الحياة الموت," Live life to its fullest; Tempus fugit, utere."," Live life to its fullest; Tempus fugit, utere.",False,The death of life comes first," Live life to its fullest; Tempus fugit, utere.",The final life is a form of death,Life at the end will kill you,B,The final life is a form of death,The death of life comes first,Life at the end will kill you," آخر الحياة الموت
""آخر الحياة الموت"" can be literally interpreted as the ""end of life is death"", suggesting that one should avoid the end of life and live only until the point of death. However, this interpretation is clearly incorrect.

[""The final life is a form of death"", ""The death of life comes first"", ""Life at the end will kill you""]",1.0,1.0,0.88,0.75,92.5
a,cot_xl,Arabic,MID0002,أتبع من الظل.,Sticks to them like a shadow.,Sticks to them like a shadow.,False,The shadow only follows people with dark complexions,Sticks to them like a shadow.,He is a shadow that only appears in the dark,Shadow follower always walks behind,B,Shadow follower always walks behind,He is a shadow that only appears in the dark,The shadow only follows people with dark complexions,"أتبع من الظل. 
Someone who follows someone else's shadow is actually a servant or a bodyguard who follows the leader, so a wrong literal interpretation could be: [""Shadow follower always walks behind"", ""He is a shadow that only appears in the dark"", ""The shadow only follows people with dark complexions""]",1.0,1.0,1.28,0.85,95.5
a,cot_xl,Arabic,MID0003,أحْسِنْ إلى الناس تستعبد قلوبهم.,Kindness begets kindness.,Kindness begets kindness.,False,Begets a slave workforce,Kindness to people results in heart enslavement,Servitude is born from kindness,Kindness begets kindness.,D,Begets a slave workforce,Kindness to people results in heart enslavement,Servitude is born from kindness,"""Because of the word order in Arabic, people might misinterpret the proverb as 'Kindness begets slavery of people's hearts'.""
[""Begets a slave workforce"", ""Kindness to people results in heart enslavement"", ""Servitude is born from kindness""]",1.0,0.6666666666666666,1.78,0.97,89.1
a,cot_xl,Arabic,MID0004,أحضر الناس جوابًا من لم يغضب,"If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.","If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.",False,wrong 1. A guest arrives in the city of some one who hasn't become angry.,wrong 2. People bring someone's answer from a place where no one gets angry.,"If you stay calm, you are wise, but if you have a hot temper, you only show how stupid you are.",wrong 3. Someone is a doctor who deals with patients who never get angry.,C,wrong 1. A guest arrives in the city of some one who hasn't become angry.,wrong 2. People bring someone's answer from a place where no one gets angry.,wrong 3. Someone is a doctor who deals with patients who never get angry.,"""أحضر الناس جوابًا من لم يغضب"" 
A person has prepared the answer of someone who has not become angry.

[""wrong 1. A guest arrives in the city of some one who hasn't become angry."" , ""wrong 2. People bring someone's answer from a place where no one gets angry."", ""wrong 3. Someone is a doctor who deals with patients who never get angry.""]",1.0,1.0,0.68,0.85,95.5
a,cot_xl,Arabic,MID0005,أحلام العصافير.,pie in the sky.,pie in the sky.,False,Birds will build homes with pies.,The birds will achieve their hopes.,pie in the sky.,Birds' dreams will fulfill themselves.,C,Birds' dreams will fulfill themselves.,The birds will achieve their hopes.,Birds will build homes with pies.,"Aḥlam al-ʿuṣāfir is a metaphorical expression, referring to unrealistic or impractical goals. Here are three plausible but incorrect literal interpretations in English:

[""Birds' dreams will fulfill themselves."", ""The birds will achieve their hopes."", ""Birds will build homes with pies.""]",1.0,1.0,1.42,0.87,96.1
a,cot_xl,Arabic,MID0006,أدنى من حبل الوريد.,closer than one's shadow.,closer than one's shadow.,False,A rope thinner than one's wrist.,closer than one's shadow.,A thread more delicate than one's artery.,A vein closer to one's heart.,B,A rope thinner than one's wrist.,A vein closer to one's heart.,A thread more delicate than one's artery.,"[""A rope thinner than one's wrist."", ""A vein closer to one's heart."", ""A thread more delicate than one's artery.""]",1.0,1.0,1.58,0.77,93.1
a,cot_xl,Arabic,MID0007,أسمع جعجعة ولا أرى طحينا,Much ado about nothing.,Much ado about nothing.,False,Wrong literal 1,Much ado about nothing.,أسمع جعجعة ولا أرى طحينا,Much ado about nothing,B,Much ado about nothing,أسمع جعجعة ولا أرى طحينا,Wrong literal 1,"""Much ado about nothing"" translates to ""أسمع جعجعة ولا أرى طحينا"" from Arabic, meaning that some people make a big noise about very little substance. 

Here are three plausible but wrong literal interpretations:
 
[
    ""Wrong literal 1"": I have heard of a thick paste made from ground almonds, but I haven't seen the flour it's made from."",
    ""Wrong literal 2"": I am listening to a recipe for a tr",1.0,0.3333333333333333,1.0,1.0,80.0
a,cot_xl,Arabic,MID0008,أسمعٌ صوتا وأرى فوتا.,Much ado about nothing,Much ado about nothing,False,Much ado about nothing,A person who has a good sense of smell can see a fire but not hear the alarm,A person who is blind can hear a very faint sound but still see a very far away person,A person who is deaf can see a very bright light but not hear a very loud noise,A,A person who is blind can hear a very faint sound but still see a very far away person,A person who is deaf can see a very bright light but not hear a very loud noise,A person who has a good sense of smell can see a fire but not hear the alarm,"<reasoning>A person with a good ear may see an invisible something but not hear an obvious sound.</reasoning>
[""A person who is blind can hear a very faint sound but still see a very far away person"", ""A person who is deaf can see a very bright light but not hear a very loud noise"", ""A person who has a good sense of smell can see a fire but not hear the alarm""]",1.0,1.0,4.58,0.64,89.2
a,cot_xl,Arabic,MID0009,أطلق ساقيه للريح,Runs like the wind.,Runs like the wind.,False,,,,,,,,,"[The person in the proverb is releasing their legs to the wind] - In this interpretation, the person is literally letting their legs go because of the strong force of the wind.

[The person has launched their legs to fly, but to no avail] - This interpretation suggests the person is trying to defy gravity by propelling their legs to fly, but unfortunately, it doesn't work.

[The person has deliber",0.0,0.0,0.0,0.0,0.0
a,cot_xl,Arabic,MID0010,أعدل الشهود التجارب.,Experience is the best teacher,Experience is the best teacher,False,Witnesses are the best experiments,Witnesses are the best trials,Experience is the best teacher,Trials are the best witnesses,C,Witnesses are the best trials,Trials are the best witnesses,Witnesses are the best experiments,"<reasoning> Arabic proverb أعدل الشهود التجارب literally translates to ""Witnesses are the best trials"", which is a misleading interpretation as it focuses on the role of witnesses rather than the concept of experience.</reasoning>
[""Witnesses are the best trials"", ""Trials are the best witnesses"", ""Witnesses are the best experiments""]",1.0,1.0,1.0,0.22,76.6
