task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_xl,French,MID0001,L’habit ne fait pas le moine,The vestment does not make the monk,"Just because a monk is wearing a renunciate’s robe, it doesn’t mean that the monk is sincere in his intentions. The phrase implies that appearances can sometimes mislead one’s better judgment. The English equivalent would be, “Don’t judge a book by its cover.”",True,The phrase suggests that monks have poor fashion sense.,The robe is too simple to be made by the monk himself.,The habit is merely a tool for the monk to perform his tasks.,"Just because a monk is wearing a renunciate’s robe, it doesn’t mean that the monk is sincere in his intentions. The phrase implies that appearances can sometimes mislead one’s better judgment. The English equivalent would be, “Don’t judge a book by its cover.”",D,The robe is too simple to be made by the monk himself.,The phrase suggests that monks have poor fashion sense.,The habit is merely a tool for the monk to perform his tasks.,"[""The robe is too simple to be made by the monk himself."",
""The phrase suggests that monks have poor fashion sense."",
""The habit is merely a tool for the monk to perform his tasks.""",1.0,1.0,0.26,0.9,97.0
b,cot_xl,French,MID0002,Qui vivra verra,"He/she who lives, shall see.","Something is unknown now, but will become clear in the future; the only way to find out is to wait and see. Typically used when an outcome is unpredictable or uncertain, like in the English phrase, “The future will tell.”",True,"The phrase 'Qui vivra verra' implies a need for violence to achieve one's goals, as only those who fight will see the outcome.","Something is unknown now, but will become clear in the future; the only way to find out is to wait and see. Typically used when an outcome is unpredictable or uncertain, like in the English phrase, “The future will tell.”","The correct translation of 'Qui vivra verra' is actually 'Whoever eats will live', implying that nourishment is essential for survival.","This proverb suggests that those who live longer will have the opportunity to see more, implying a correlation between lifespan and wisdom.",B,"The phrase 'Qui vivra verra' implies a need for violence to achieve one's goals, as only those who fight will see the outcome.","This proverb suggests that those who live longer will have the opportunity to see more, implying a correlation between lifespan and wisdom.","The correct translation of 'Qui vivra verra' is actually 'Whoever eats will live', implying that nourishment is essential for survival.","[""The phrase 'Qui vivra verra' implies a need for violence to achieve one's goals, as only those who fight will see the outcome."", ""This proverb suggests that those who live longer will have the opportunity to see more, implying a correlation between lifespan and wisdom."", ""The correct translation of 'Qui vivra verra' is actually 'Whoever eats will live', implying that nourishment is essential for",1.0,1.0,0.54,0.84,95.2
b,cot_xl,French,MID0003,Chacun voit midi à sa porte,Each person sees noon at his/her door.,"Each person prioritizes their own interests, and their unique perspective on life guides how they interact with others, set goals, work and live. This saying can also refer to a person’s selfishness...",True,Every person's life is centered around the clock tower near their home.,The timing of meals is highly subjective and influenced by personal preferences.,"Each person prioritizes their own interests, and their unique perspective on life guides how they interact with others, set goals, work and live. This saying can also refer to a person’s selfishness...",The view from one's doorstep influences their sense of time and productivity.,C,Every person's life is centered around the clock tower near their home.,The timing of meals is highly subjective and influenced by personal preferences.,The view from one's doorstep influences their sense of time and productivity.,"[""Every person's life is centered around the clock tower near their home."", ""The timing of meals is highly subjective and influenced by personal preferences."", ""The view from one's doorstep influences their sense of time and productivity.""]",1.0,1.0,0.38,0.89,96.7
b,cot_xl,French,MID0004,Mieux vaut prévenir que guérir,It’s better to prevent than to heal.,"It’s better to take the necessary precautions to prevent a sickness, than to have to treat and heal this sickness.",True,"It’s better to take the necessary precautions to prevent a sickness, than to have to treat and heal this sickness.","When facing an illness, having a cure available will always give you a sense of accomplishment.","If you don't try to fix a problem when it occurs, then you get extra points for being proactive.","In a game of chess, it's often better to think about how you'll fix your opponent's next move rather than thinking about your current position.",A,"If you don't try to fix a problem when it occurs, then you get extra points for being proactive.","When facing an illness, having a cure available will always give you a sense of accomplishment.","In a game of chess, it's often better to think about how you'll fix your opponent's next move rather than thinking about your current position.","[""If you don't try to fix a problem when it occurs, then you get extra points for being proactive."", ""When facing an illness, having a cure available will always give you a sense of accomplishment."", ""In a game of chess, it's often better to think about how you'll fix your opponent's next move rather than thinking about your current position.""]",1.0,1.0,1.0,0.92,97.6
b,cot_xl,French,MID0005,"Qui n’avance pas, recule","Who does not move forward, recedes.","There can be no standstill in life, only evolution or devolution. You can either adapt, or become stagnant and “recede.”",True,Who only moves backward,Those who are already at the top will continue to advance,Only a few can truly progress,"There can be no standstill in life, only evolution or devolution. You can either adapt, or become stagnant and “recede.”",D,Who only moves backward,Only a few can truly progress,Those who are already at the top will continue to advance,"[""Who only moves backward"", ""Only a few can truly progress"", ""Those who are already at the top will continue to advance""]",1.0,0.6666666666666666,0.35,0.94,88.2
b,cot_xl,French,MID0006,Il ne faut pas se fier aux apparences,One should not trust appearances.,"This saying is the English equivalent of “You can’t judge a book by its cover,” or “Looks can be deceiving.”",True,Il ne faut pas se fier aux apparences is a warning against trusting the advice of others.,"This saying is the English equivalent of “You can’t judge a book by its cover,” or “Looks can be deceiving.”",This saying is about the importance of physical attractiveness in relationships.,"This proverb is a reminder that appearances can be intimidating, but ultimately harmless.",B,This saying is about the importance of physical attractiveness in relationships.,Il ne faut pas se fier aux apparences is a warning against trusting the advice of others.,"This proverb is a reminder that appearances can be intimidating, but ultimately harmless.","[""This saying is about the importance of physical attractiveness in relationships."", ""Il ne faut pas se fier aux apparences is a warning against trusting the advice of others."", ""This proverb is a reminder that appearances can be intimidating, but ultimately harmless.""]",1.0,1.0,0.68,0.91,97.3
b,cot_xl,French,MID0007,"Petit à petit, l’oiseau fait son nid","Little by little, the bird makes its nest.","This proverb designates patience and perseverance. It can be used in many situations, particularly to refer to something substantial that has not yet been accomplished, but will be with time and perseverance.",True,"The phrase 'Petit à petit, l'oiseau fait son nid' implies that birds build their nests to store food for the winter, reflecting the resourcefulness and thriftiness of these creatures.",The proverb suggests a bird building its nest to escape danger. Each stone it adds to the nest represents the importance of planning for a safe future.,"This proverb designates patience and perseverance. It can be used in many situations, particularly to refer to something substantial that has not yet been accomplished, but will be with time and perseverance.","In the context of the proverb, the bird's nest is a symbol of a harmonious relationship between the bird and the forest, highlighting the significance of establishing a symbiotic connection with nature.",C,The proverb suggests a bird building its nest to escape danger. Each stone it adds to the nest represents the importance of planning for a safe future.,"In the context of the proverb, the bird's nest is a symbol of a harmonious relationship between the bird and the forest, highlighting the significance of establishing a symbiotic connection with nature.","The phrase 'Petit à petit, l'oiseau fait son nid' implies that birds build their nests to store food for the winter, reflecting the resourcefulness and thriftiness of these creatures.","[""The proverb suggests a bird building its nest to escape danger. Each stone it adds to the nest represents the importance of planning for a safe future."", ""In the context of the proverb, the bird's nest is a symbol of a harmonious relationship between the bird and the forest, highlighting the significance of establishing a symbiotic connection with nature."", ""The phrase 'Petit à petit, l'oiseau f",1.0,1.0,0.92,0.91,97.3
b,cot_xl,French,MID0008,"Aussitôt dit, aussitôt fait","As soon as said, as soon as done.","The equivalent English saying is, “It’s as good as done.” It indicates that something is or will be done almost immediately upon request.",True,This phrase is used to express skepticism about the feasibility of a task.,It suggests that speaking loudly or being assertive can complete a task immediately.,"If someone says this, they're implying they're dishonest.","The equivalent English saying is, “It’s as good as done.” It indicates that something is or will be done almost immediately upon request.",D,"If someone says this, they're implying they're dishonest.",It suggests that speaking loudly or being assertive can complete a task immediately.,This phrase is used to express skepticism about the feasibility of a task.,"[""If someone says this, they're implying they're dishonest."", ""It suggests that speaking loudly or being assertive can complete a task immediately."", ""This phrase is used to express skepticism about the feasibility of a task.""]",1.0,1.0,0.49,0.99,99.7
b,cot_xl,French,MID0009,Bien mal acquis ne profite jamais,A badly acquired good never benefits.,"In English, the saying goes, “Ill-gotten goods seldom prosper,” or “Crime doesn’t pay,” meaning it’s best to be honest because dishonesty doesn’t get you anywhere.",True,The good things you acquire badly will never get you a good parking spot.,"If you get something badly, the only thing that's bad is if you don't use it often.",A badly acquired good will never improve your cooking skills.,"In English, the saying goes, “Ill-gotten goods seldom prosper,” or “Crime doesn’t pay,” meaning it’s best to be honest because dishonesty doesn’t get you anywhere.",D,The good things you acquire badly will never get you a good parking spot.,A badly acquired good will never improve your cooking skills.,"If you get something badly, the only thing that's bad is if you don't use it often.","[""The good things you acquire badly will never get you a good parking spot."", ""A badly acquired good will never improve your cooking skills."", ""If you get something badly, the only thing that's bad is if you don't use it often."" ]",1.0,1.0,0.55,0.86,95.8
b,cot_xl,French,MID0010,"Qui court deux lièvres à la fois, n’en prend aucun","Who runs after two hares at the same time, catches none.",We ought to concentrate on one task at a time with optimal attention...,True,We ought to concentrate on one task at a time with optimal attention...,"One who chases two hares is a poor hunter, but a great runner.",A person who pursues two rabbits is demonstrating exceptional multitasking skills.,It is better to run after two hares than to stay still.,A,"One who chases two hares is a poor hunter, but a great runner.",A person who pursues two rabbits is demonstrating exceptional multitasking skills.,It is better to run after two hares than to stay still.,"[""One who chases two hares is a poor hunter, but a great runner."", ""A person who pursues two rabbits is demonstrating exceptional multitasking skills."", ""It is better to run after two hares than to stay still.""]",1.0,1.0,0.92,0.85,95.5
