Sample_ID,source_text,english_translation,Cultural_Context
MID0001,L’habit ne fait pas le moine,The vestment does not make the monk,"Just because a monk is wearing a renunciate’s robe, it doesn’t mean that the monk is sincere in his intentions. The phrase implies that appearances can sometimes mislead one’s better judgment. The English equivalent would be, “Don’t judge a book by its cover.”"
MID0002,Qui vivra verra,"He/she who lives, shall see.","Something is unknown now, but will become clear in the future; the only way to find out is to wait and see. Typically used when an outcome is unpredictable or uncertain, like in the English phrase, “The future will tell.”"
MID0003,Chacun voit midi à sa porte,Each person sees noon at his/her door.,"Each person prioritizes their own interests, and their unique perspective on life guides how they interact with others, set goals, work and live. This saying can also refer to a person’s selfishness..."
MID0004,Mieux vaut prévenir que guérir,It’s better to prevent than to heal.,"It’s better to take the necessary precautions to prevent a sickness, than to have to treat and heal this sickness."
MID0005,"Qui n’avance pas, recule","Who does not move forward, recedes.","There can be no standstill in life, only evolution or devolution. You can either adapt, or become stagnant and “recede.”"
MID0006,Il ne faut pas se fier aux apparences,One should not trust appearances.,"This saying is the English equivalent of “You can’t judge a book by its cover,” or “Looks can be deceiving.”"
MID0007,"Petit à petit, l’oiseau fait son nid","Little by little, the bird makes its nest.","This proverb designates patience and perseverance. It can be used in many situations, particularly to refer to something substantial that has not yet been accomplished, but will be with time and perseverance."
MID0008,"Aussitôt dit, aussitôt fait","As soon as said, as soon as done.","The equivalent English saying is, “It’s as good as done.” It indicates that something is or will be done almost immediately upon request."
MID0009,Bien mal acquis ne profite jamais,A badly acquired good never benefits.,"In English, the saying goes, “Ill-gotten goods seldom prosper,” or “Crime doesn’t pay,” meaning it’s best to be honest because dishonesty doesn’t get you anywhere."
MID0010,"Qui court deux lièvres à la fois, n’en prend aucun","Who runs after two hares at the same time, catches none.",We ought to concentrate on one task at a time with optimal attention...
MID0011,"Mangez bien, riez souvent, aimez beaucoup","Eat well, laugh often, love abundantly.",This saying is analogous to “Live life to the fullest” or carpe diem...
MID0012,"À jeune chasseur, il faut un vieux chien","For the young hunter, an old dog is needed.",An inexperienced person needs someone older and wiser to show him/her the ropes.
MID0013,"Après la pluie, le beau temps","After the rain, good weather.","This saying is a poetic way of saying “Hang in there.” Even if things are bad at the moment, they’ll get better."
MID0014,"Quand on a pas ce que l’on aime, il faut aimer ce que l’on a","When one doesn’t have the things that one loves, one must love what one has.","It reflects the saying, “Want what you have and you’ll have what you want,”..."
MID0015,Bien faire et laisser dire,Do well and let (them) speak.,Do what you believe is right and don’t pay attention to what others have to say about it.
MID0016,Il n’y a pas plus sourd que celui qui ne veut pas entendre,No one is as deaf as the one who does not want to listen.,People who are too stubborn... pay no attention to others’ advice or opinions.
MID0017,Passer comme une lettre à la poste,To go through like a letter in the mail.,"...used to refer to something... that’s easy, runs smoothly and is hassle-free."
MID0018,"Si jeunesse savait, si vieillesse pouvait","If youth knew, if age could.",This saying is a French equivalent of “Youth is wasted on the young.”
MID0019,Ça ne casse pas des briques,It doesn’t break bricks.,"Basically, this is the French version of “It’s nothing to write home about.”"
MID0020,Tiré par les cheveux,Pulled by the hair.,This phrase means that something is “far-fetched” or unlikely.
