task,sample_id,language,correct_pos,eval_groq,eval_nvidia,eval_answer,eval_correct
b,MID0001,Spanish,B,B,,B,1
b,MID0002,Spanish,D,D,,D,1
b,MID0003,Spanish,A,A,,A,1
b,MID0004,Spanish,A,A,,A,1
b,MID0005,Spanish,B,B,,B,1
b,MID0006,Spanish,B,B,,B,1
b,MID0007,Spanish,A,A,,A,1
b,MID0008,Spanish,D,D,,D,1
b,MID0009,Spanish,A,A,,A,1
b,MID0010,Spanish,D,D,,D,1
b,MID0011,Spanish,D,D,,D,1
b,MID0012,Spanish,D,D,,D,1
b,MID0013,Spanish,B,B,,B,1
b,MID0014,Spanish,A,A,,A,1
b,MID0015,Spanish,B,B,,B,1
b,MID0016,Spanish,D,D,,D,1
b,MID0017,Spanish,A,A,,A,1
b,MID0018,Spanish,B,B,,B,1
b,MID0019,Spanish,C,C,,C,1
b,MID0020,Spanish,C,C,,C,1
b,MID0021,Spanish,D,D,,D,1
b,MID0022,Spanish,A,A,,A,1
b,MID0023,Spanish,B,B,,B,1
b,MID0024,Spanish,A,A,,A,1
b,MID0025,Spanish,B,B,,B,1
b,MID0026,Spanish,B,A,,A,0
b,MID0027,Spanish,C,C,,C,1
b,MID0028,Spanish,B,B,,B,1
b,MID0029,Spanish,B,B,,B,1
b,MID0030,Spanish,A,A,,A,1
b,MID0032,Spanish,D,D,,D,1
b,MID0045,Spanish,D,D,,D,1
b,MID0046,Spanish,B,B,,B,1
b,MID0047,Spanish,D,D,,D,1
b,MID0048,Spanish,D,D,,D,1
b,MID0049,Spanish,A,A,,A,1
b,MID0131,Spanish,C,C,,C,1
b,MID0132,Spanish,D,D,,D,1
b,MID0133,Spanish,D,D,,D,1
b,MID0134,Spanish,B,B,,B,1
b,MID0135,Spanish,D,A,,A,0
b,MID0136,Spanish,D,D,,D,1
b,MID0137,Spanish,C,C,,C,1
b,MID0139,Spanish,A,A,,A,1
b,MID0140,Spanish,A,A,,A,1
b,MID0141,Spanish,C,C,,C,1
b,MID0142,Spanish,C,A,,A,0
b,MID0147,Spanish,C,C,,C,1
b,MID0148,Spanish,D,B,,B,0
b,MID0151,Spanish,A,A,,A,1
b,MID0154,Spanish,B,B,,B,1
b,MID0157,Spanish,A,A,,A,1
b,MID0158,Spanish,B,B,,B,1
b,MID0161,Spanish,A,A,,A,1
b,MID0181,Spanish,A,A,,A,1
b,MID0186,Spanish,A,A,,A,1
b,MID0331,Spanish,A,A,,A,1
b,MID0332,Spanish,B,B,,B,1
b,MID0333,Spanish,A,A,,A,1
b,MID0334,Spanish,B,B,,B,1
b,MID0336,Spanish,D,D,,D,1
b,MID0337,Spanish,D,D,,D,1
