task,strategy,lang,source_proverb,correct_text,correct_answer,reasoning,Choice_A,Choice_B,Choice_C,Choice_D
a,zs,Yoruba,"Bí a kò lówó, à léèyàn; bí a kò léèyàn à lóhùn rere lòrun.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",C,Regex Parse,"When money is scarce, one should rely on acquaintances; if one lacks acquaintances, one should be adept in endearing speech.","When one is short of resources, one should rely on influential people; if one lacks influential people, one should be skilled in sweet conversation.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.","If you lack wealth, you should have connections; if you lack connections, you should have a gentle language."
a,zs,Yoruba,"A-kápò-má-ṣọdẹ: ọ̀tá ẹranko, ọ̀tá èèyàn.",He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,B,Regex Parse,Carrying-hunting-bag-but-not-hunting: enemy to man as to the wild animal.,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,One-who-carry-hunting-bag-but-not-hunt: enemy of man and also of the beast.,He-who-carrying-a-hunting-pack-but-not-hunt: enemy alike of man and animal.
a,zs,Yoruba,Iwájú la ti ńjogún; ẹ̀hìn la ti ńṣàgbà.,"One inherits from one’s front, and one sets an example at one’s back.",D,Regex Parse,"Your legacy is set at your back; your inheritance, however, comes from what is before you.","You reap what you sow at your back, and inheritance comes from the front.","At the back, you sow what you will reap; at the front, you inherit what has been prepared.","One inherits from one’s front, and one sets an example at one’s back."
a,zs,Yoruba,"Ẹ̀rù kì í ba igbó, bẹ́ẹ̀ni kì í ba odò; ẹ̀rù kì í ba ọlọ lójú ata.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",B,Regex Parse,"The forest is fearless, just as the river is fearless; the mortar never displays fear in the presence of chillies.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.","The forest does not know fear, and neither does the river know fear; the pestle never exhibits fear before the pungency of spices.","The forest feels no fear, like the river, which also knows no fear; the stone does not tremble with fear at the pungency of herbs."
a,zs,Yoruba,"Ilé tí a gbá èèyàn létí wọ̀, bó pe títí a ó gbàá èèyàn létí jáde níbẹ̀.",A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,B,Regex Parse,"Ụlọ tí a ga n'ókwè, onye tí a ga wà na ókwè, ókwè tí a ga wà na Ụlọ tí a ga n'ókwè.",A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,"Ibù tí a ba nì, ibù tí a ba nì láti títí a lá ba nì láti tàbí.","Ụlọ n'akụkụ dị, anụma n'ụlọ n'akụkụ bụrụ, ụlọ bụrụ anụma n'ụlọ n'akụkụ anụma."
a,zs,Yoruba,"Ojú ti kókó, ojú ti eéwo; ojú ti aáràgbá ìdí pẹ̀lú.","The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.",A,Regex Parse,"The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.","The swelling that torments the head is shunned, the painful sore is shunned, and the hardened growth behind is also shunned.","The growth that burdens the forehead is disgraced, the abscess is disgraced, and the hardened tumor in the backside is equally disgraced.","The mass that invades the cranium is humiliated, the festering sore is humiliated, and the hardened lesion on the buttocks is humiliated too."
a,zs,Yoruba,"Bí ẹ̀bìtì ò pa eku, a kó ẹyìn fẹ́lẹ́yìn.","If the snare does not kill the rat, it returns the kernel bait to the owner.",A,Regex Parse,"If the snare does not kill the rat, it returns the kernel bait to the owner.",A snare that misses its prey will bring back the kernel bait to its rightful owner.,"If a trap fails to capture the rodent, it retrieves the kernel bait for its creator.","When a trap fails to catch a rat, it returns the bait containing the kernel to the person who set it."
a,zs,Yoruba,Tojú tìyẹ́ làparò-ó fi ńríran.,It is with both its eyes and its feathers that the partridge sees.,A,Regex Parse,It is with both its eyes and its feathers that the partridge sees.,It is with both its eyes and its wings that the falcon sees.,It is with both its beak and its talons that the eagle sees.,It is with both its wings and its claws that the bird sees.
a,zs,Yoruba,"Olórùká gbòrùka, ọwọ́ àwé dòfo.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.,D,Regex Parse,The owner of the ring has taken back his possession; the hands of the companion are now bare.,The owner of the ring has reclaimed his ring; the hands of the friend are now unadorned.,The master of the ring has regained his ring; the fingers of the companion are now vacant.,The owner of the ring has taken back his ring; the fingers of the friend are now empty.
a,zs,Yoruba,Alágbàró ò yege; aláṣọ á gbà á bó dọ̀la.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,A,Regex Parse,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,She who borrows clothes to adorn herself is not completely safe; the owner of the attire will reclaim it the next morning.,"When one wears borrowed attire to appear dignified, one's freedom is not guaranteed; the owner of the dress will reclaim it at dawn.",The person who wears borrowed adornments is not entirely secure; the one who owns the garment will retrieve it the following day.
